age_values_weeks,blockers,dataset,entry_type,exact_age_sample_count,experiment_type,geo_url,intervention_terms,max_age_months,max_age_weeks,min_age_weeks,n_samples_soft,old_label_sample_count,overall_design,preferred_processed_file,preferred_size_bytes,preferred_url,preflight_timestamp_utc,priority_tier,processed_schema_guess,public_date,recommended_action,schema_blocker,soft_fetch_error,soft_url,source_queries,summary,supp_file_eutils,supplement_count,supplement_dir_url,supplement_types,taxon,tissue_count,tissues,title
21.729;112.989,single_tissue_or_celltype,GSE92486,GSE,30,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92486,none_detected:30,26.0,112.989,21.729,30,12,Total RNA and whole genome DNA-methylation profiles of liver tissue extracted from 5 months (young) and 26 months (old) dietary-restricted (DR) and control-fed (AL) F1 hybrid mouse strain (C3B6F1) were generated by deep sequencing using Illumina sequencing,GSE92486_RAW.tar,3063808000,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSE92486_RAW.tar,2026-05-18T00:58:35.714332+00:00,P2_adapter_audit,bismark_cov_per_sample_tar,2017/02/24,parser_smoke_then_decide_download,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/soft/GSE92486_family.soft.gz,manual_seed_v7_9,"Dietary restriction (DR), a reduction in food intake without malnutrition, increases most aspects of health during ageing and extends lifespan in diverse species including rodents and rhesus monkeys. However the mechanisms by which DR interacts with the ageing process to improve health at old age are poorly understood. DNA methylation could play an important role in mediating the effects of DR, because it is sensitive to the effects of nutrition and can affect gene expression memory over time. Here we have profiled genome-wide changes in DNA methylation, gene expression and lipidomics in response to DR and ageing in mouse liver. DR strongly retarded age-related changes in DNA methylation. With ageing, DNA methylation became confined to genic elements and was associated with reduced gene expression, particularly of genes involved in lipid metabolism.",TXT,19,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/,TXT:18;TAR:1,Mus musculus,1,liver:30,Dietary restriction protects from age-associated DNA methylation and induces epigenetic reprogramming of lipid metabolism
17.383;104.297,single_tissue_or_celltype,GSE175410,GSE,15,Methylation profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175410,exercise:15,24.0,104.297,17.383,15,10,"TA muscle from 5 young sedentary mice, 5 24 month old sedentary mice, and 5 aged mice exercise trained from 22-24 months were analyzed for DNA methylation via RRBS and DNAge.",GSE175410_RAW.tar,360263680,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSE175410_RAW.tar,2026-05-18T00:58:37.274165+00:00,P2_adapter_audit,bismark_cov_per_sample_tar,2021/12/31,parser_smoke_then_decide_download,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/soft/GSE175410_family.soft.gz,"manual_seed_v7_9 || Mus musculus[ORGN] AND ""DNA methylation"" AND ""24 month"" AND gse[ETYP]","Exercise late in life mitigates skeletal muscle epigenetic aging, providing evidence that physical activity is a ""fountain of youth"".",COV,16,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/,COV:15;TAR:1,Mus musculus,1,skeletal_muscle:15,Exercise Mitigates Skeletal Muscle Epigenetic Aging
17.383;52.149;78.223;104.297;108.643;112.989;117.334;121.68,,GSE213628,GSE,117,Methylation profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213628,none_detected:120,28.0,121.68,17.383,120,0,DNA was isolated from each tissue and time point and reduced representation bisulfite sequencing (RRBS) was performed.,GSE213628_RAW.tar,3260723200,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSE213628_RAW.tar,2026-05-18T00:58:38.840777+00:00,P1_download_next,bismark_cov_per_sample_tar,2022/09/30,add_to_v8_download_and_conversion_plan,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/soft/GSE213628_family.soft.gz,"manual_seed_v7_9 || Mus musculus[ORGN] AND ""DNA methylation"" AND ""24 month"" AND gse[ETYP] || Mus musculus[ORGN] AND ""DNA methylation"" AND ""26 month"" AND gse[ETYP]","We report age related DNA methylation changes in mice in Small intestine, Colon, Heart, Lungs, Liver, Spleen, Kidney and Whole hlood  across 3  different aging timepoints (4 month, 12 month, 24 month). For small intestine and colon there are 4 aging time points ( 4 month, 12 month, 18 month and 24 month)",COV,121,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/,COV:120;TAR:1,Mus musculus,8,intestine:44;heart:22;spleen:16;blood:10;kidney:10;liver:6;lung:6;skeletal_muscle:6,DNA methylation entropy as a measure of stem cell replication and aging [BiSulfite-seq]
26.071;34.762;104.286;112.976,,GSE224442,GSE,78,Methylation profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224442,parabiosis:78;recovery:78,25.997,112.976,26.071,78,44,"We studied a mouse model of heterochronic parabiosis. Mouse pairs (either age-mismatched, heterochronic; or age-matched, isochronic) were surgically joined and maintained for 3 months. After this period, a subset of mice were euthanized and tissues were collected for analysis, and another subset of pairs was surgically detached and allowed to recover for 2 months, after which tissues were collected. We subjected DNA isolated from these samples to reduced representation bisulfite sequencing (RRBS).",GSE224442_RAW.tar,2426613760,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224442/suppl/GSE224442_RAW.tar,2026-05-18T00:58:40.406653+00:00,P2_adapter_audit,bismark_cov_per_sample_tar,2023/04/21,parser_smoke_then_decide_download,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224442/soft/GSE224442_family.soft.gz,manual_seed_v7_9,"Aging is classically conceptualized as an ever-increasing trajectory of damage accumulation and loss of function, leading to increases in morbidity and mortality. However, recent in vitro studies have raised the possibility of age reversal. We characterized several models in which biological age is perturbed. Heterochronic parabiosis and recovery from this procedure is one such example.",COV,79,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224442/suppl/,COV:78;TAR:1,Mus musculus,2,liver:46;blood:32,DNA methylation changes in mice induced by parabiosis and recovery [RRBS]
0.571;2.0;26.074;43.457,no_24_month_plus_exact_age;celltype_specific_hsc_context,GSE233879,GSE,28,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233879,none_detected:72;recovery:8,10.0,43.457,0.571,80,57,We have conducted RNA sequencing and single-cell RNA sequencing to invesitgate the transcriptomic heterogenetity in HSCs aging. RRBS profiling is conducted and applied to calculate the epigenetic age.,GSE233879_RAW.tar,2120140800,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233879/suppl/GSE233879_RAW.tar,2026-05-18T00:58:41.971820+00:00,P2_adapter_audit,bismark_cov_per_sample_tar,2025/01/02,parser_smoke_then_decide_download,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233879/soft/GSE233879_family.soft.gz,manual_seed_v7_9,"Aging is a process accompanied by functional decline in tissues and organs with great social and medical consequences. Previous studies have demonstrated that aged hematopoietic stem cells (HSCs) are functionally compromised, which at least partly contributes to aging-related decline of the body health. However, the underlying mechanism is largely unknown. Here we reveal a clear heterogeneity of old HSCs, which can be marked by the CD150 levels. Comparative molecular and functional analyses revealed that CD150low HSCs from old mice have a younger aging clock, transcriptome, and better repopulation capacity compared to that of the CD150high HSCs. Mechanistically, CD150high HSCs from old mice have greatly compromised differentiation capacity compared to that of the CD150low HSCs. Importantly, decreasing the CD150high HSC ratio in old mice can alleviate aging-related functional decline. Thus, our study not only reveals how HSC heterogeneity contributes to aging, but also points to a poten","BW, COV, MTX, TSV, TXT, WIG",89,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233879/suppl/,TXT:24;BW:24;WIG:16;COV:12;TSV:8;MTX:4;TAR:1,Mus musculus,2,hsc_bone_marrow:76;blood:20,Increased molecular and functional heterogeneity of hematopoietic stem cells contributes to age-related decline of tissue and body function
,limited_exact_age_parse;no_24_month_plus_exact_age;single_tissue_or_celltype;celltype_specific_hsc_context,GSE276335,GSE,0,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276335,genetic:17;none_detected:12,,,,29,16,Transcriptome and epigenetic analysis from young and old HSCs (WT vs Gadd45b KO),GSE276335_RAW.tar,2744565760,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE276nnn/GSE276335/suppl/GSE276335_RAW.tar,2026-05-18T00:58:43.532670+00:00,P4_low_priority,wgbs_cov_per_sample_tar,2026/05/15,do_not_download_until_main_gap_is_fixed,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE276nnn/GSE276335/soft/GSE276335_family.soft.gz,"manual_seed_v7_9 || Mus musculus[ORGN] AND ""Methylation profiling by high throughput sequencing"" AND aging AND gse[ETYP]","Age-related functional decline of hematopoietic stem cells (HSC) contributes to the decline of the hematopoietic system. Growth Arrest and DNA Damage-inducible proteins (Gadd45a, Gadd45b, and Gadd45g) are robustly expressed early in HSC activation and are known to be important for DNA damage response. Gadd45b has also been shown to promote removal of 5-methylcytosine at specific loci. Given that both DNA methylation (DNAm) alterations and DNA damage have been associated with HSC aging, we sought to examine the role of Gadd45b in HSCs. To examine if Gadd45b is critical for regulating DNAm in HSCs, we performed whole genome bisulfite sequence and RNA sequencing on wild-type (WT) and Gadd45b knock-out (KO) HSCs isolated from young and old mice. Global DNAm of young KO showed increased DNAm compared to young WT, and the DNAm profiles were more similar to old HSCs, from either WT and KO, than to young WT. We examined the DNAm changes common between the Gadd45b KO (YKOvsYWT) or WT aging (OWT","COV, TXT",30,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE276nnn/GSE276335/suppl/,TXT:19;COV:10;TAR:1,Mus musculus,1,unknown:19;hsc_bone_marrow:10,Age-like Methylation Changes of HSCs in Gadd45b knock-out mice
,limited_exact_age_parse;no_24_month_plus_exact_age,GSE286302,GSE,0,Methylation profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286302,circadian:49;recovery:49,,,,49,37,"Reduced representation bisulfite sequencing (RRBS) profiling of liver, lung and muscle tissues in aging mice treated with 3dA and chemogenetic manipulation in PVN.",GSE286302_RAW.tar,6347182080,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE286nnn/GSE286302/suppl/GSE286302_RAW.tar,2026-05-18T00:58:45.094539+00:00,P3_auxiliary_or_intervention,bismark_cov_per_sample_tar,2026/03/08,keep_for_targeted_validation_not_primary_clock_training,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE286nnn/GSE286302/soft/GSE286302_family.soft.gz,"manual_seed_v7_9 || Mus musculus[ORGN] AND (RRBS OR ""reduced representation bisulfite"") AND (aging OR age OR old OR month) AND gse[ETYP] || Mus musculus[ORGN] AND ""Methylation profiling by high throughput sequencing"" AND aging AND gse[ETYP]","The decline of behavioral and metabolic rhythms with aging underscores the critical role of circadian regulation in health and longevity. Restoring circadian rhythms has recently emerged as a promising strategy to combat aging-associated disorders. Epigenome remodeling and gene expression changes during cellular senescence. These epigenomic changes have been widely recognized as hallmarks of aging. Therefore, we examined the DNA methylation levels in aging mice with 3dA treatment and chemogenetic manipulation in PVN. Our results suggest that enhancing circadian rhythm amplitude in paraventricular nucleus (PVN) neurons by 3’-deoxyadenosine (3dA) and chemogenetics significantly reverses the epigenetic clock of multi tissues in aging mice.",COV,50,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE286nnn/GSE286302/suppl/,COV:49;TAR:1,Mus musculus,3,liver:19;skeletal_muscle:18;lung:12,Restoring Circadian Rhythms in the Paraventricular Nucleus Reverses the Epigenetic Clock of Multi Tissues in Aging Mice. [RRBS]
17.383;104.297,single_tissue_or_celltype;in_vitro_or_organoid_context,GSE295059,GSE,68,Methylation profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295059,drug:70,24.0,104.297,17.383,70,0,"Intestinal crypts from 4-month-old and 24-month-old mice were isolated to generate organoids, which were then used for DNA and RNA extraction. These organoids underwent RRBS (Reduced Representation Bisulfite Sequencing) and RNA-seq analysis to investigate age- and passage-related changes in DNA methylation and gene expression. This approach allowed us to assess how aging and extended culturing influence the molecular landscape of the organoids",GSE295059_RAW.tar,5126604800,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE295nnn/GSE295059/suppl/GSE295059_RAW.tar,2026-05-18T00:58:46.659326+00:00,P2_adapter_audit,bismark_cov_per_sample_tar,2025/06/01,parser_smoke_then_decide_download,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE295nnn/GSE295059/soft/GSE295059_family.soft.gz,"manual_seed_v7_9 || Mus musculus[ORGN] AND (RRBS OR ""reduced representation bisulfite"") AND (aging OR age OR old OR month) AND gse[ETYP] || Mus musculus[ORGN] AND ""DNA methylation"" AND ""24 month"" AND gse[ETYP]","Intestinal organoids, three-dimensional cultures from intestinal stem cells, are a powerful model for studying aging, and DNA methylation is an accurate biological clock. Consequently, we hypothesized that organoid DNA methylation could serve as an aging metric and a valuable tool for in vitro aging research. Our initial study revealed significant DNA methylation changes, during organoid culture, with 27% of total CpG sites undergoing hypomethylation, and 11% gaining hypermethylation. Hypomethylation occurred predominantly in aging-associated genomic regions, including non-promoter, non-CpG island regions (e.g., transposable elements), while hypermethylation, in CpG islands, significantly (p < 0.001) correlated with aging. Comparison of aging-methylated sites with differentiation-specific CpG sites showed minimal overlap, indicating negligible association. Early-passage (P0 and P2) organoids, derived from 4- and 24-month-old mice, preserved aging-specific methylation patterns, with a c",COV,71,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE295nnn/GSE295059/suppl/,COV:70;TAR:1,Mus musculus,1,intestine:70,In Vitro Modeling of Age-Related Methylation Changes with Intestinal Organoids [RRBS]
,limited_exact_age_parse;no_24_month_plus_exact_age;single_tissue_or_celltype,GSE281602,GSE,0,Methylation profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281602,none_detected:8,,,,8,0,We isolated cardiomyocyte nuclei using FACS and performed RRBS sequencing. Outputs were analyzed using bismark package.,GSE281602_RAW.tar,454676480,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281602/suppl/GSE281602_RAW.tar,2026-05-18T00:58:48.308723+00:00,P3_auxiliary_or_intervention,bismark_cov_per_sample_tar,2025/11/11,keep_for_targeted_validation_not_primary_clock_training,,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281602/soft/GSE281602_family.soft.gz,"Mus musculus[ORGN] AND (RRBS OR ""reduced representation bisulfite"") AND (aging OR age OR old OR month) AND gse[ETYP]","Cardiac aging is a major risk factor for cardiovascular diseases, yet the underlying molecular mechanisms remain poorly understood. Methylation at the CpG islands have been heavily associated with the process of aging. In this study, we performed RRBS sequencing to identify changes in CpG methylation in the aging cardiomyocyte.","BEDGRAPH, COV",17,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281602/suppl/,BEDGRAPH:8;COV:8;TAR:1,Mus musculus,1,heart:8,Transcriptional profiling of aged and young mouse hearts [RRBS]
17.383;104.297,single_tissue_or_celltype;processed_cov_not_detected;celltype_specific_hsc_context;requires_parser_smoke_before_download,GSE47815,GSE,13,Methylation profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47815,none_detected:13,24.0,104.297,17.383,13,6,"Mouse hematopoietic stem cell DNA methylation profiles of 4 month and 24 month old WT mice were generated generated by deep sequencing, in duplicate, using Illumina Hiseq 2000.",GSE47815_RAW.tar,2676193280,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47815/suppl/GSE47815_RAW.tar,2026-05-18T00:58:49.871505+00:00,P3_auxiliary_or_intervention,unknown_methylation_raw_tar,2014/04/30,keep_for_targeted_validation_not_primary_clock_training,requires_parser_smoke_before_download,,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47815/soft/GSE47815_family.soft.gz,"Mus musculus[ORGN] AND ""DNA methylation"" AND ""24 month"" AND gse[ETYP]","To investigate the global DNA methylation changes in mouse hematopoietic stem cell aging, we performed whole-genome bisulfite sequencing (WGBS). We generated 1,494 million (4mo HSCs), and 1,493 million (24mo HSCs) raw reads; about 82.6% and 84.3%, respectively, were successfully aligned to either strand of the reference genome (mm9). Of all the cytosines present in the reference genome sequence, about 93% of Cs and 99% of CGs were covered in both datasets, with an average coverage of 46-fold (4mo) and 50-fold (24mo). In contrast to the age-associated hypomethylation observed in studies of somatic cells, mentioned above, HSCs showed an increase of methylation with age. The average methylation level over all 16 million covered CpGs increased from 83.5% in young (4mo) HSC to 84.6% in old (24mo) HSC. We observed a total of 448,166 differentially methylated CpGs (DMCs), defined as those having a 20% or more difference in methylation ratio, of which 38.5% (172,609) were hypomethylated (hypo-",BED,14,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47815/suppl/,BED:13;TAR:1,Mus musculus,1,hsc_bone_marrow:13,Epigenetic and genetic changes during mouse hematopoietic stem cell aging [Bisulfite-Seq]
