age_weeks,characteristics,dataset,intervention_guess,raw_age_token,raw_age_unit,sample_id,source_name,tissue_guess,title
21.729,strain: C3B6F1 | gender: female | diet: control-fed (AL) | age: 5 months | tissue: liver,GSE92486,,age: 5 mo,mo,GSM2430552,AL 5m RNA-seq,liver,AL 5m Rep1 RNA-seq
21.729,strain: C3B6F1 | gender: female | diet: control-fed (AL) | age: 5 months | tissue: liver,GSE92486,,age: 5 mo,mo,GSM2430553,AL 5m RNA-seq,liver,AL 5m Rep2 RNA-seq
21.729,strain: C3B6F1 | gender: female | diet: control-fed (AL) | age: 5 months | tissue: liver,GSE92486,,age: 5 mo,mo,GSM2430554,AL 5m RNA-seq,liver,AL 5m Rep3 RNA-seq
21.729,strain: C3B6F1 | gender: female | diet: dietary-restricted (DR) | age: 5 months | tissue: liver,GSE92486,,age: 5 mo,mo,GSM2430555,DR 5m RNA-seq,liver,DR 5m Rep1 RNA-seq
21.729,strain: C3B6F1 | gender: female | diet: dietary-restricted (DR) | age: 5 months | tissue: liver,GSE92486,,age: 5 mo,mo,GSM2430556,DR 5m RNA-seq,liver,DR 5m Rep2 RNA-seq
21.729,strain: C3B6F1 | gender: female | diet: dietary-restricted (DR) | age: 5 months | tissue: liver,GSE92486,,age: 5 mo,mo,GSM2430557,DR 5m RNA-seq,liver,DR 5m Rep3 RNA-seq
112.989,strain: C3B6F1 | gender: female | diet: control-fed (AL) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430558,AL 26m RNA-seq,liver,AL 26m Rep1 RNA-seq
112.989,strain: C3B6F1 | gender: female | diet: control-fed (AL) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430559,AL 26m RNA-seq,liver,AL 26m Rep2 RNA-seq
112.989,strain: C3B6F1 | gender: female | diet: control-fed (AL) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430560,AL 26m RNA-seq,liver,AL 26m Rep3 RNA-seq
112.989,strain: C3B6F1 | gender: female | diet: dietary-restricted (DR) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430561,DR 26m RNA-seq,liver,DR 26m Rep1 RNA-seq
112.989,strain: C3B6F1 | gender: female | diet: dietary-restricted (DR) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430562,DR 26m RNA-seq,liver,DR 26m Rep2 RNA-seq
112.989,strain: C3B6F1 | gender: female | diet: dietary-restricted (DR) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430563,DR 26m RNA-seq,liver,DR 26m Rep3 RNA-seq
21.729,strain: C3B6F1 | gender: female | diet: control-fed (AL) | age: 5 months | tissue: liver,GSE92486,,age: 5 mo,mo,GSM2430564,AL 5m BS-seq,liver,AL 5m Rep1 BS-seq
21.729,strain: C3B6F1 | gender: female | diet: control-fed (AL) | age: 5 months | tissue: liver,GSE92486,,age: 5 mo,mo,GSM2430565,AL 5m BS-seq,liver,AL 5m Rep2 BS-seq
21.729,strain: C3B6F1 | gender: female | diet: control-fed (AL) | age: 5 months | tissue: liver,GSE92486,,age: 5 mo,mo,GSM2430566,AL 5m BS-seq,liver,AL 5m Rep3 BS-seq
21.729,strain: C3B6F1 | gender: female | diet: dietary-restricted (DR) | age: 5 months | tissue: liver,GSE92486,,age: 5 mo,mo,GSM2430567,DR 5m BS-seq,liver,DR 5m Rep1 BS-seq
21.729,strain: C3B6F1 | gender: female | diet: dietary-restricted (DR) | age: 5 months | tissue: liver,GSE92486,,age: 5 mo,mo,GSM2430568,DR 5m BS-seq,liver,DR 5m Rep2 BS-seq
21.729,strain: C3B6F1 | gender: female | diet: dietary-restricted (DR) | age: 5 months | tissue: liver,GSE92486,,age: 5 mo,mo,GSM2430569,DR 5m BS-seq,liver,DR 5m Rep3 BS-seq
112.989,strain: C3B6F1 | gender: female | diet: control-fed (AL) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430570,AL 26m PE BS-seq,liver,AL 26m PE Rep1 BS-seq
112.989,strain: C3B6F1 | gender: female | diet: control-fed (AL) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430571,AL 26m PE BS-seq,liver,AL 26m PE Rep2 BS-seq
112.989,strain: C3B6F1 | gender: female | diet: control-fed (AL) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430572,AL 26m PE BS-seq,liver,AL 26m PE Rep3 BS-seq
112.989,strain: C3B6F1 | gender: female | diet: dietary-restricted (DR) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430573,DR 26m PE BS-seq,liver,DR 26m PE Rep1 BS-seq
112.989,strain: C3B6F1 | gender: female | diet: dietary-restricted (DR) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430574,DR 26m PE BS-seq,liver,DR 26m PE Rep2 BS-seq
112.989,strain: C3B6F1 | gender: female | diet: dietary-restricted (DR) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430575,DR 26m PE BS-seq,liver,DR 26m PE Rep3 BS-seq
112.989,strain: C3B6F2 | gender: female | diet: control-fed (AL) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430576,AL 26m SE BS-seq,liver,AL 26m SE Rep1 BS-seq
112.989,strain: C3B6F3 | gender: female | diet: control-fed (AL) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430577,AL 26m SE BS-seq,liver,AL 26m SE Rep2 BS-seq
112.989,strain: C3B6F4 | gender: female | diet: control-fed (AL) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430578,AL 26m SE BS-seq,liver,AL 26m SE Rep3 BS-seq
112.989,strain: C3B6F5 | gender: female | diet: dietary-restricted (DR) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430579,DR 26m SE BS-seq,liver,DR 26m SE Rep1 BS-seq
112.989,strain: C3B6F6 | gender: female | diet: dietary-restricted (DR) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430580,DR 26m SE BS-seq,liver,DR 26m SE Rep2 BS-seq
112.989,strain: C3B6F7 | gender: female | diet: dietary-restricted (DR) | age: 26 months | tissue: liver,GSE92486,,age: 26 mo,mo,GSM2430581,DR 26m SE BS-seq,liver,DR 26m SE Rep3 BS-seq
17.383,tissue: Skeletal Muscle | group: Sedentary | age: 4mo,GSE175410,exercise,age: 4mo,mo,GSM5333067,tibialis anterior,skeletal_muscle,Young Sedentary 1
17.383,tissue: Skeletal Muscle | group: Sedentary | age: 4mo,GSE175410,exercise,age: 4mo,mo,GSM5333068,tibialis anterior,skeletal_muscle,Young Sedentary 2
17.383,tissue: Skeletal Muscle | group: Sedentary | age: 4mo,GSE175410,exercise,age: 4mo,mo,GSM5333069,tibialis anterior,skeletal_muscle,Young Sedentary 3
17.383,tissue: Skeletal Muscle | group: Sedentary | age: 4mo,GSE175410,exercise,age: 4mo,mo,GSM5333070,tibialis anterior,skeletal_muscle,Young Sedentary 4
17.383,tissue: Skeletal Muscle | group: Sedentary | age: 4mo,GSE175410,exercise,age: 4mo,mo,GSM5333071,tibialis anterior,skeletal_muscle,Young Sedentary 5
104.297,tissue: Skeletal Muscle | group: Sedentary | age: 24mo,GSE175410,exercise,age: 24mo,mo,GSM5333072,tibialis anterior,skeletal_muscle,Old Sedentary 1
104.297,tissue: Skeletal Muscle | group: Sedentary | age: 24mo,GSE175410,exercise,age: 24mo,mo,GSM5333073,tibialis anterior,skeletal_muscle,Old Sedentary 2
104.297,tissue: Skeletal Muscle | group: Sedentary | age: 24mo,GSE175410,exercise,age: 24mo,mo,GSM5333074,tibialis anterior,skeletal_muscle,Old Sedentary 3
104.297,tissue: Skeletal Muscle | group: Sedentary | age: 24mo,GSE175410,exercise,age: 24mo,mo,GSM5333075,tibialis anterior,skeletal_muscle,Old Sedentary 4
104.297,tissue: Skeletal Muscle | group: Sedentary | age: 24mo,GSE175410,exercise,age: 24mo,mo,GSM5333076,tibialis anterior,skeletal_muscle,Old Sedentary 5
104.297,tissue: Skeletal Muscle | group: Exercise | age: 24mo,GSE175410,exercise,age: 24mo,mo,GSM5333077,tibialis anterior,skeletal_muscle,Old Exercise 1
104.297,tissue: Skeletal Muscle | group: Exercise | age: 24mo,GSE175410,exercise,age: 24mo,mo,GSM5333078,tibialis anterior,skeletal_muscle,Old Exercise 2
104.297,tissue: Skeletal Muscle | group: Exercise | age: 24mo,GSE175410,exercise,age: 24mo,mo,GSM5333079,tibialis anterior,skeletal_muscle,Old Exercise 3
104.297,tissue: Skeletal Muscle | group: Exercise | age: 24mo,GSE175410,exercise,age: 24mo,mo,GSM5333080,tibialis anterior,skeletal_muscle,Old Exercise 4
104.297,tissue: Skeletal Muscle | group: Exercise | age: 24mo,GSE175410,exercise,age: 24mo,mo,GSM5333081,tibialis anterior,skeletal_muscle,Old Exercise 5
17.383,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590383,Lower Small Intestine Epithelium,intestine,4 month LSI_GFP-_A
17.383,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590384,Lower Small Intestine Epithelium,intestine,4 month LSI_GFP-_B
17.383,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590385,Lower Small Intestine Epithelium,intestine,4 month LSI_GFP+_A
17.383,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590386,Lower Small Intestine Epithelium,intestine,4 month LSI_GFP+_B
17.383,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590387,Upper Small Intestine Epithelium,intestine,4 month USI_GFP-_A
17.383,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590388,Upper Small Intestine Epithelium,intestine,4 month USI_GFP-_B
,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,,,GSM6590389,Upper Small Intestine Epithelium,intestine,4 monthUSI_GFP+_A
17.383,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590390,Upper Small Intestine Epithelium,intestine,4 month USI_GFP+_B
17.383,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590391,Colon Epithelium,intestine,4 month COL_GFP-_A
17.383,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590392,Colon Epithelium,intestine,4 month COL_GFP-_B
17.383,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590393,Colon Epithelium,intestine,4 month COL_GFP+_A
17.383,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590394,Colon Epithelium,intestine,4 month COL_GFP+_B
52.149,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590395,Lower Small Intestine Epithelium,intestine,12 month LSI_GFP-_A
52.149,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590396,Lower Small Intestine Epithelium,intestine,12 month LSI_GFP-_B
52.149,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590397,Upper Small Intestine Epithelium,intestine,12 month USI_GFP-_A
52.149,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590398,Upper Small Intestine Epithelium,intestine,12 month USI_GFP-_B
52.149,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590399,Colon Epithelium,intestine,12 month COL_GFP-_A
52.149,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590400,Colon Epithelium,intestine,12 month COL_GFP-_B
52.149,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590401,Colon Epithelium,intestine,12 month COL_GFP+_A
52.149,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590402,Colon Epithelium,intestine,12 month COL_GFP+_B
78.223,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,18 month,month,GSM6590403,Lower Small Intestine Epithelium,intestine,18 month LSI_GFP-_A
78.223,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,18 month,month,GSM6590404,Lower Small Intestine Epithelium,intestine,18 month LSI_GFP-_B
78.223,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,18 month,month,GSM6590405,Lower Small Intestine Epithelium,intestine,18 month LSI_GFP+_A
