archive_or_file,available,content_type,dataset,filelist_error,filelist_size_bytes,filelist_time,filelist_type,head_error,http_status,remote_last_modified,remote_size_bytes,supplement_name,supplement_url
Archive,True,application/x-tar,GSE92486,,3063808000,02/25/2017 13:54:25,TAR,,200,"Sat, 25 Feb 2017 18:54:25 GMT",3063808000,GSE92486_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSE92486_RAW.tar
File,,,GSE92486,,165138636,12/13/2016 10:35:07,TXT,,,,,GSM2430564_AL_26m_PE_Rep1_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430564_AL_26m_PE_Rep1_BS-seq.cov.txt.gz
File,,,GSE92486,,119130203,12/13/2016 10:37:13,TXT,,,,,GSM2430565_AL_26m_PE_Rep2_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430565_AL_26m_PE_Rep2_BS-seq.cov.txt.gz
File,,,GSE92486,,123873845,12/13/2016 10:38:21,TXT,,,,,GSM2430566_AL_26m_PE_Rep3_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430566_AL_26m_PE_Rep3_BS-seq.cov.txt.gz
File,,,GSE92486,,158065376,12/13/2016 10:39:29,TXT,,,,,GSM2430567_DR_26m_PE_Rep1_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430567_DR_26m_PE_Rep1_BS-seq.cov.txt.gz
File,,,GSE92486,,159946470,12/13/2016 10:40:52,TXT,,,,,GSM2430568_DR_26m_PE_Rep2_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430568_DR_26m_PE_Rep2_BS-seq.cov.txt.gz
File,,,GSE92486,,160900258,12/13/2016 10:42:19,TXT,,,,,GSM2430569_DR_26m_PE_Rep3_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430569_DR_26m_PE_Rep3_BS-seq.cov.txt.gz
File,,,GSE92486,,205931478,12/13/2016 09:59:24,TXT,,,,,GSM2430570_AL_5m_PE_Rep1_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430570_AL_5m_PE_Rep1_BS-seq.cov.txt.gz
File,,,GSE92486,,193110471,12/13/2016 09:59:26,TXT,,,,,GSM2430571_AL_5m_PE_Rep2_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430571_AL_5m_PE_Rep2_BS-seq.cov.txt.gz
File,,,GSE92486,,187493599,12/13/2016 09:59:21,TXT,,,,,GSM2430572_AL_5m_PE_Rep3_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430572_AL_5m_PE_Rep3_BS-seq.cov.txt.gz
File,,,GSE92486,,177074850,12/13/2016 09:59:13,TXT,,,,,GSM2430573_DR_5m_PE_Rep1_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430573_DR_5m_PE_Rep1_BS-seq.cov.txt.gz
File,,,GSE92486,,162489325,12/13/2016 09:59:18,TXT,,,,,GSM2430574_DR_5m_PE_Rep2_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430574_DR_5m_PE_Rep2_BS-seq.cov.txt.gz
File,,,GSE92486,,195101219,12/13/2016 09:59:16,TXT,,,,,GSM2430575_DR_5m_PE_Rep3_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430575_DR_5m_PE_Rep3_BS-seq.cov.txt.gz
File,,,GSE92486,,189955095,12/13/2016 10:21:57,TXT,,,,,GSM2430576_AL_26m_SE_Rep1_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430576_AL_26m_SE_Rep1_BS-seq.cov.txt.gz
File,,,GSE92486,,166493174,12/13/2016 10:23:50,TXT,,,,,GSM2430577_AL_26m_SE_Rep2_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430577_AL_26m_SE_Rep2_BS-seq.cov.txt.gz
File,,,GSE92486,,157458768,12/13/2016 10:25:52,TXT,,,,,GSM2430578_AL_26m_SE_Rep3_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430578_AL_26m_SE_Rep3_BS-seq.cov.txt.gz
File,,,GSE92486,,178527396,12/13/2016 10:28:01,TXT,,,,,GSM2430579_DR_26m_SE_Rep1_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430579_DR_26m_SE_Rep1_BS-seq.cov.txt.gz
File,,,GSE92486,,176106259,12/13/2016 10:29:39,TXT,,,,,GSM2430580_DR_26m_SE_Rep2_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430580_DR_26m_SE_Rep2_BS-seq.cov.txt.gz
File,,,GSE92486,,186992489,12/13/2016 10:31:12,TXT,,,,,GSM2430581_DR_26m_SE_Rep3_BS-seq.cov.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92486/suppl/GSM2430581_DR_26m_SE_Rep3_BS-seq.cov.txt.gz
Archive,True,application/x-tar,GSE175410,,360263680,12/31/2021 17:00:05,TAR,,200,"Fri, 31 Dec 2021 22:00:05 GMT",360263680,GSE175410_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSE175410_RAW.tar
File,,,GSE175410,,25358031,10/05/2020 15:37:42,COV,,,,,GSM5333067_zr3463_1_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333067_zr3463_1_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,25930285,10/05/2020 15:43:23,COV,,,,,GSM5333068_zr3463_2_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333068_zr3463_2_R1_val_1_bismark_bt2_pe.bismark.cov.gz
