sample_id,title,age_days,age_weeks,raw_age_value,raw_age_unit,normalized_age_unit,age_unit_source,age_parse_warning,tissue,strain,sex,intervention,dataset_batch,assay,fastq_on_disk,parse_status,raw_source_name,raw_characteristics,sample_id_source,metadata_source,matrix_sample_id,source_column,condition_detail,condition_family
GSM6590383,4 month LSI_GFP-_A,121.681,17.383,4.0,months,months,sample_title,,intestine,Lgr5-FP-IRES-CreERT2,unknown,control,GSE213628,RRBS,False,ok,Lower Small Intestine Epithelium,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GEO_SOFT_GSM,official_geo_soft_v8,GSM6590383,,none,control
GSM6590384,4 month LSI_GFP-_B,121.681,17.383,4.0,months,months,sample_title,,intestine,Lgr5-FP-IRES-CreERT2,unknown,control,GSE213628,RRBS,False,ok,Lower Small Intestine Epithelium,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GEO_SOFT_GSM,official_geo_soft_v8,GSM6590384,,none,control
GSM6590385,4 month LSI_GFP+_A,121.681,17.383,4.0,months,months,sample_title,,intestine,Lgr5-FP-IRES-CreERT2,unknown,control,GSE213628,RRBS,False,ok,Lower Small Intestine Epithelium,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GEO_SOFT_GSM,official_geo_soft_v8,GSM6590385,,none,control
GSM6590386,4 month LSI_GFP+_B,121.681,17.383,4.0,months,months,sample_title,,intestine,Lgr5-FP-IRES-CreERT2,unknown,control,GSE213628,RRBS,False,ok,Lower Small Intestine Epithelium,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GEO_SOFT_GSM,official_geo_soft_v8,GSM6590386,,none,control
GSM6590387,4 month USI_GFP-_A,121.681,17.383,4.0,months,months,sample_title,,intestine,Lgr5-FP-IRES-CreERT2,unknown,control,GSE213628,RRBS,False,ok,Upper Small Intestine Epithelium,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GEO_SOFT_GSM,official_geo_soft_v8,GSM6590387,,none,control
GSM6590388,4 month USI_GFP-_B,121.681,17.383,4.0,months,months,sample_title,,intestine,Lgr5-FP-IRES-CreERT2,unknown,control,GSE213628,RRBS,False,ok,Upper Small Intestine Epithelium,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GEO_SOFT_GSM,official_geo_soft_v8,GSM6590388,,none,control
GSM6590389,4 monthUSI_GFP+_A,121.681,17.383,4.0,months,months,sample_title,,intestine,Lgr5-FP-IRES-CreERT2,unknown,control,GSE213628,RRBS,False,ok,Upper Small Intestine Epithelium,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GEO_SOFT_GSM,official_geo_soft_v8,GSM6590389,,none,control
GSM6590390,4 month USI_GFP+_B,121.681,17.383,4.0,months,months,sample_title,,intestine,Lgr5-FP-IRES-CreERT2,unknown,control,GSE213628,RRBS,False,ok,Upper Small Intestine Epithelium,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GEO_SOFT_GSM,official_geo_soft_v8,GSM6590390,,none,control
GSM6590391,4 month COL_GFP-_A,121.681,17.383,4.0,months,months,sample_title,,intestine,Lgr5-FP-IRES-CreERT2,unknown,control,GSE213628,RRBS,False,ok,Colon Epithelium,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GEO_SOFT_GSM,official_geo_soft_v8,GSM6590391,,none,control
GSM6590392,4 month COL_GFP-_B,121.681,17.383,4.0,months,months,sample_title,,intestine,Lgr5-FP-IRES-CreERT2,unknown,control,GSE213628,RRBS,False,ok,Colon Epithelium,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GEO_SOFT_GSM,official_geo_soft_v8,GSM6590392,,none,control
