sample_id,title,age_days,age_weeks,raw_age_value,raw_age_unit,normalized_age_unit,age_unit_source,age_parse_warning,tissue,strain,sex,intervention,dataset_batch,assay,fastq_on_disk,parse_status,raw_source_name,raw_characteristics,sample_id_source,metadata_source,matrix_sample_id,source_column,condition_detail,condition_family
GSE60012_tile_001,GSE60012 synthetic Liver_M_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_001_Liver_M_3w_NORMAL | source_column: Liver_M_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_001_Liver_M_3w_NORMAL,Liver_M_3w_NORMAL,NORMAL,normal
GSE60012_tile_002,GSE60012 synthetic Liver_F_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_002_Liver_F_8w_NORMAL | source_column: Liver_F_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_002_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,NORMAL,normal
GSE60012_tile_003,GSE60012 synthetic Liver_F_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_003_Liver_F_8w_NORMAL | source_column: Liver_F_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_003_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,NORMAL,normal
GSE60012_tile_004,GSE60012 synthetic Liver_F_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_004_Liver_F_8w_NORMAL | source_column: Liver_F_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_004_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,NORMAL,normal
GSE60012_tile_005,GSE60012 synthetic Liver_F_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_005_Liver_F_8w_NORMAL | source_column: Liver_F_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_005_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,NORMAL,normal
GSE60012_tile_006,GSE60012 synthetic Liver_F_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_006_Liver_F_8w_NORMAL | source_column: Liver_F_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_006_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,NORMAL,normal
GSE60012_tile_007,GSE60012 synthetic Liver_M_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_007_Liver_M_8w_NORMAL | source_column: Liver_M_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_007_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,NORMAL,normal
GSE60012_tile_008,GSE60012 synthetic Liver_M_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_008_Liver_M_8w_NORMAL | source_column: Liver_M_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_008_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,NORMAL,normal
GSE60012_tile_009,GSE60012 synthetic Liver_M_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_009_Liver_M_8w_NORMAL | source_column: Liver_M_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_009_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,NORMAL,normal
GSE60012_tile_010,GSE60012 synthetic Liver_M_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_010_Liver_M_8w_NORMAL | source_column: Liver_M_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_010_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,NORMAL,normal
GSE60012_tile_011,GSE60012 synthetic Liver_M_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_011_Liver_M_8w_NORMAL | source_column: Liver_M_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_011_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,NORMAL,normal
GSE60012_tile_012,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_012_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_012_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control
GSE60012_tile_013,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_013_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_013_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control
GSE60012_tile_014,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_014_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_014_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control
GSE60012_tile_015,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_015_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_015_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control
GSE60012_tile_016,GSE60012 synthetic Liver_M_28w_old_castration_control,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_016_Liver_M_28w_old_castration_control | source_column: Liver_M_28w_old_castration_control | condition_detail: old_castration_control,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_016_Liver_M_28w_old_castration_control,Liver_M_28w_old_castration_control,old_castration_control,old_castration_control
GSE60012_tile_017,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_017_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_017_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration
GSE60012_tile_018,GSE60012 synthetic Liver_M_28w_old_castration,196.0,28.0,28.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,other_intervention,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_018_Liver_M_28w_old_castration | source_column: Liver_M_28w_old_castration | condition_detail: old_castration,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_018_Liver_M_28w_old_castration,Liver_M_28w_old_castration,old_castration,old_castration
