sample_id,title,age_days,age_weeks,raw_age_value,raw_age_unit,normalized_age_unit,age_unit_source,age_parse_warning,tissue,strain,sex,intervention,dataset_batch,assay,fastq_on_disk,parse_status,raw_source_name,raw_characteristics
GSM3394172,Mouse_Adipose_SH001,608.4,86.914,20.0,months,months,parsed,,adipose,C57BL/6J,F,control,GSE120137,RRBS,True,ok,Adipose,strain: C57BL/6J | tissue: Adipose | age: 20mo | Sex: Female
GSM3394173,Mouse_Adipose_SH002,608.4,86.914,20.0,months,months,parsed,,adipose,C57BL/6J,F,control,GSE120137,RRBS,True,ok,Adipose,strain: C57BL/6J | tissue: Adipose | age: 20mo | Sex: Female
GSM3394174,Mouse_Adipose_SH003,608.4,86.914,20.0,months,months,parsed,,adipose,C57BL/6J,F,control,GSE120137,RRBS,True,ok,Adipose,strain: C57BL/6J | tissue: Adipose | age: 20mo | Sex: Female
GSM3394175,Mouse_Adipose_SH004,608.4,86.914,20.0,months,months,parsed,,adipose,C57BL/6J,F,control,GSE120137,RRBS,True,ok,Adipose,strain: C57BL/6J | tissue: Adipose | age: 20mo | Sex: Female
GSM3394176,Mouse_Adipose_SH005,608.4,86.914,20.0,months,months,parsed,,adipose,C57BL/6J,F,control,GSE120137,RRBS,True,ok,Adipose,strain: C57BL/6J | tissue: Adipose | age: 20mo | Sex: Female
GSM3394177,Mouse_Adipose_SH006,608.4,86.914,20.0,months,months,parsed,,adipose,C57BL/6J,M,control,GSE120137,RRBS,True,ok,Adipose,strain: C57BL/6J | tissue: Adipose | age: 20mo | Sex: Male
GSM3394178,Mouse_Adipose_SH007,608.4,86.914,20.0,months,months,parsed,,adipose,C57BL/6J,M,control,GSE120137,RRBS,True,ok,Adipose,strain: C57BL/6J | tissue: Adipose | age: 20mo | Sex: Male
GSM3394179,Mouse_Adipose_SH008,608.4,86.914,20.0,months,months,parsed,,adipose,C57BL/6J,M,control,GSE120137,RRBS,True,ok,Adipose,strain: C57BL/6J | tissue: Adipose | age: 20mo | Sex: Male
GSM3394180,Mouse_Adipose_SH009,608.4,86.914,20.0,months,months,parsed,,adipose,C57BL/6J,M,control,GSE120137,RRBS,True,ok,Adipose,strain: C57BL/6J | tissue: Adipose | age: 20mo | Sex: Male
GSM3394181,Mouse_Adipose_SH010,608.4,86.914,20.0,months,months,parsed,,adipose,C57BL/6J,M,control,GSE120137,RRBS,True,ok,Adipose,strain: C57BL/6J | tissue: Adipose | age: 20mo | Sex: Male
GSM3394182,Mouse_Adipose_SH011,608.4,86.914,20.0,months,months,parsed,,adipose,BALB/cByJ,F,control,GSE120137,RRBS,True,ok,Adipose,strain: BALB/cByJ | tissue: Adipose | age: 20mo | Sex: Female
