dataset,run_accession,sample_id,library_layout,fastq_count,mates_present,missing_mate,pairing_status,total_size_bytes,total_size_gib,local_paths
GSE120137,SRR7871490,GSM3394172,SINGLE,1,,,single_or_unknown,8024252570,7.473168,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871490.fastq
GSE120137,SRR7871491,GSM3394173,SINGLE,1,,,single_or_unknown,12490088148,11.632301,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871491.fastq
GSE120137,SRR7871492,GSM3394174,SINGLE,1,,,single_or_unknown,12304089170,11.459076,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871492.fastq
GSE120137,SRR7871493,GSM3394175,SINGLE,1,,,single_or_unknown,10441757298,9.724644,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871493.fastq
GSE120137,SRR7871494,GSM3394176,SINGLE,1,,,single_or_unknown,7829593914,7.291878,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871494.fastq
GSE120137,SRR7871495,GSM3394177,SINGLE,1,,,single_or_unknown,14455973226,13.463174,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871495.fastq
GSE120137,SRR7871496,GSM3394178,SINGLE,1,,,single_or_unknown,13488596046,12.562234,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871496.fastq
GSE120137,SRR7871497,GSM3394179,SINGLE,1,,,single_or_unknown,13030886924,12.135959,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871497.fastq
GSE120137,SRR7871498,GSM3394180,SINGLE,1,,,single_or_unknown,12420434598,11.567431,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871498.fastq
GSE120137,SRR7871499,GSM3394181,SINGLE,1,,,single_or_unknown,12526771710,11.666465,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871499.fastq
GSE120137,SRR7871500,GSM3394182,SINGLE,1,,,single_or_unknown,15386497132,14.329792,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871500.fastq
GSE120137,SRR7871501,GSM3394183,SINGLE,1,,,single_or_unknown,9784933638,9.11293,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871501.fastq
GSE120137,SRR7871502,GSM3394184,SINGLE,1,,,single_or_unknown,10509492294,9.787727,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871502.fastq
GSE120137,SRR7871503,GSM3394185,SINGLE,1,,,single_or_unknown,10851467230,10.106216,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871503.fastq
GSE120137,SRR7871504,GSM3394186,SINGLE,1,,,single_or_unknown,8476702902,7.894545,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871504.fastq
GSE120137,SRR7871505,GSM3394187,SINGLE,1,,,single_or_unknown,12005359262,11.180862,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871505.fastq
GSE120137,SRR7871506,GSM3394188,SINGLE,1,,,single_or_unknown,10661525434,9.929319,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871506.fastq
GSE120137,SRR7871507,GSM3394189,SINGLE,1,,,single_or_unknown,10481354538,9.761522,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871507.fastq
GSE120137,SRR7871508,GSM3394190,SINGLE,1,,,single_or_unknown,10680700692,9.947178,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871508.fastq
GSE120137,SRR7871509,GSM3394191,SINGLE,1,,,single_or_unknown,10033185038,9.344132,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871509.fastq
GSE120137,SRR7871510,GSM3394192,SINGLE,1,,,single_or_unknown,10493837860,9.773148,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871510.fastq
GSE120137,SRR7871511,GSM3394193,SINGLE,1,,,single_or_unknown,10145035536,9.448301,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871511.fastq
GSE120137,SRR7871512,GSM3394194,SINGLE,1,,,single_or_unknown,7459219324,6.946939,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871512.fastq
GSE120137,SRR7871513,GSM3394195,SINGLE,1,,,single_or_unknown,11084144396,10.322914,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871513.fastq
GSE120137,SRR7871514,GSM3394196,SINGLE,1,,,single_or_unknown,9349223110,8.707143,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871514.fastq
