dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,fastq_gib,age_weeks,tissue,sex,intervention,title,condition_family,selection_reason,selection_rank_within_reason,already_completed_raw_region_beta,pilot_priority
GSE121141,GSM3426754,SRR8032927;SRR8032928,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032927_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032928_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032927_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032928_2.fastq,2,4,15.32072,26.074,brain_cortex,M,control,Br0603,,all_complete_paired_metadata_mapped,1,True,0
GSE121141,GSM3426755,SRR8032929;SRR8032930,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032929_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032930_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032929_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032930_2.fastq,2,4,22.657181,26.074,brain_cortex,M,control,Br0607,,all_complete_paired_metadata_mapped,2,True,0
GSE121141,GSM3426757,SRR8032932;SRR8032933,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032932_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032933_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032932_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032933_2.fastq,2,4,41.649886,26.074,brain_cortex,M,control,Br0609,,all_complete_paired_metadata_mapped,3,True,0
GSE121141,GSM3426758,SRR8032934,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032934_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032934_2.fastq,1,2,28.384525,26.074,brain_cortex,M,control,Br0610,,all_complete_paired_metadata_mapped,4,False,0
GSE121141,GSM3426759,SRR8032935;SRR8032936,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032935_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032936_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032935_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032936_2.fastq,2,4,29.211685000000003,52.149,brain_cortex,M,control,Br1203,,all_complete_paired_metadata_mapped,5,False,0
GSE121141,GSM3426760,SRR8032937;SRR8032938,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032937_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032938_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032937_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032938_2.fastq,2,4,23.856396,52.149,brain_cortex,M,control,Br1204,,all_complete_paired_metadata_mapped,6,False,0
GSE121141,GSM3426761,SRR8032939,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032939_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032939_2.fastq,1,2,14.767929,52.149,brain_cortex,M,control,Br1207,,all_complete_paired_metadata_mapped,7,False,0
GSE80672,GSM2132852,SRR3440750,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440750_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440750_2.fastq,1,2,4.639645,34.766,blood,M,control,M0806,,control_age_balanced,1,True,1
GSE80672,GSM2132905,SRR3440835,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440835_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440835_2.fastq,1,2,5.49571,104.297,blood,M,control,M2404,,control_age_balanced,2,True,1
GSE80672,GSM2132736,SRR3440596,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440596_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440596_2.fastq,1,2,2.930553,99.951,blood,M,CR,B6_CR2303,,cr_age_balanced,1,True,1
GSE80672,GSM2132717,SRR3440570,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440570_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440570_2.fastq,1,2,12.949478,2.912,blood,M,control,20D07,,control_age_balanced,3,False,1
GSE80672,GSM2132815,SRR3440696,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440696_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440696_2.fastq,1,2,4.58867,10.864,fibroblast,M,control,K2,,control_age_balanced,4,False,1
GSE80672,GSM2132830,SRR3440718,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440718_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440718_2.fastq,1,2,5.063206,17.383,blood,M,control,M0402,,control_age_balanced,5,False,1
GSE80672,GSM2132770,SRR3440645,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440645_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440645_2.fastq,1,2,4.069598,26.074,blood,F,control,DW2,,control_age_balanced,6,False,1
GSE80672,GSM2132863,SRR3440766,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440766_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440766_2.fastq,1,2,7.340176,43.457,blood,M,control,M10_7509,,control_age_balanced,7,False,1
GSE80672,GSM2132900,SRR3440826,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440826_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440826_2.fastq,1,2,0.214253,95.606,blood,M,control,M2209,,control_age_balanced,8,False,1
GSE80672,GSM2132915,SRR3440852,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440852_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440852_2.fastq,1,2,6.514767,112.989,blood,M,control,M2605,,control_age_balanced,9,False,1
GSE80672,GSM2132921,SRR3440863;SRR3440864,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440863_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440864_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440863_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440864_2.fastq,2,4,6.714938999999999,121.68,blood,M,control,M2801,,control_age_balanced,10,False,1
GSE80672,GSM2132942,SRR3440900;SRR3440901,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440900_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440901_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440900_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440901_2.fastq,2,4,8.238154999999999,139.063,blood,M,control,M3207,,control_age_balanced,11,False,1
GSE80672,GSM2132956,SRR3440924;SRR3440925,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440924_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440925_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440924_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440925_2.fastq,2,4,8.667670999999999,152.1,blood,M,control,M3501R,,control_age_balanced,12,False,1
GSE80672,GSM2132724,SRR3440577;SRR3440578,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440577_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440578_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440577_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440578_2.fastq,2,4,8.513405,43.457,blood,M,CR,B6_CR1001,,cr_age_balanced,7,False,1
GSE80672,GSM2132725,SRR3440579,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440579_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440579_2.fastq,1,2,3.0737,43.457,blood,M,CR,B6_CR1002,,cr_age_balanced,2,False,1
GSE80672,GSM2132727,SRR3440582,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440582_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440582_2.fastq,1,2,8.998703,43.457,blood,M,CR,B6_CR1004,,cr_age_balanced,12,False,1
GSE80672,GSM2132730,SRR3440587,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440587_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440587_2.fastq,1,2,6.089092,78.223,blood,M,CR,B6_CR1802,,cr_age_balanced,8,False,1
GSE80672,GSM2132732,SRR3440590,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440590_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440590_2.fastq,1,2,2.739239,78.223,blood,M,CR,B6_CR1804,,cr_age_balanced,3,False,1
GSE80672,GSM2132758,SRR3440628,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440628_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440628_2.fastq,1,2,3.916536,91.26,blood,M,CR,B6D2F1_CR2105,,cr_age_balanced,9,False,1
GSE80672,GSM2132759,SRR3440629,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440629_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440629_2.fastq,1,2,3.246672,91.26,blood,M,CR,b6d2f1_CR2106,,cr_age_balanced,4,False,1
GSE80672,GSM2132734,SRR3440593,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440593_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440593_2.fastq,1,2,5.719384,99.951,blood,M,CR,B6_CR2301,,cr_age_balanced,10,False,1
GSE80672,GSM2132737,SRR3440597,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440597_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440597_2.fastq,1,2,3.822711,99.951,blood,M,CR,B6_CR2304,,cr_age_balanced,5,False,1
