dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,pilot_priority,queue_status,bismark_authorized,training_authorized
GSE121141,GSM3426754,SRR8032927;SRR8032928,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032927_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032928_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032927_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032928_2.fastq,2,4,0,v24_balanced_expansion,False,False
GSE121141,GSM3426755,SRR8032929;SRR8032930,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032929_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032930_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032929_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032930_2.fastq,2,4,0,v24_balanced_expansion,False,False
GSE121141,GSM3426757,SRR8032932;SRR8032933,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032932_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032933_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032932_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032933_2.fastq,2,4,0,v24_balanced_expansion,False,False
GSE121141,GSM3426758,SRR8032934,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032934_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032934_2.fastq,1,2,0,v24_balanced_expansion,False,False
GSE121141,GSM3426759,SRR8032935;SRR8032936,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032935_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032936_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032935_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032936_2.fastq,2,4,0,v24_balanced_expansion,False,False
GSE121141,GSM3426760,SRR8032937;SRR8032938,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032937_1.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032938_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032937_2.fastq;/data/mouse_methyl/raw/GSE121141/fastq/SRR8032938_2.fastq,2,4,0,v24_balanced_expansion,False,False
GSE121141,GSM3426761,SRR8032939,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032939_1.fastq,/data/mouse_methyl/raw/GSE121141/fastq/SRR8032939_2.fastq,1,2,0,v24_balanced_expansion,False,False
GSE80672,GSM2132852,SRR3440750,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440750_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440750_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132905,SRR3440835,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440835_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440835_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132736,SRR3440596,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440596_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440596_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132717,SRR3440570,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440570_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440570_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132815,SRR3440696,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440696_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440696_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132830,SRR3440718,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440718_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440718_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132770,SRR3440645,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440645_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440645_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132863,SRR3440766,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440766_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440766_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132900,SRR3440826,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440826_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440826_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132915,SRR3440852,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440852_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440852_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132921,SRR3440863;SRR3440864,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440863_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440864_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440863_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440864_2.fastq,2,4,1,v24_balanced_expansion,False,False
GSE80672,GSM2132942,SRR3440900;SRR3440901,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440900_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440901_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440900_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440901_2.fastq,2,4,1,v24_balanced_expansion,False,False
GSE80672,GSM2132956,SRR3440924;SRR3440925,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440924_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440925_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440924_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440925_2.fastq,2,4,1,v24_balanced_expansion,False,False
GSE80672,GSM2132724,SRR3440577;SRR3440578,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440577_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440578_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440577_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440578_2.fastq,2,4,1,v24_balanced_expansion,False,False
GSE80672,GSM2132725,SRR3440579,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440579_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440579_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132727,SRR3440582,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440582_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440582_2.fastq,1,2,1,v24_balanced_expansion,False,False
GSE80672,GSM2132730,SRR3440587,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440587_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440587_2.fastq,1,2,1,v24_balanced_expansion,False,False
