dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,pilot_priority,queue_status,bismark_authorized,training_authorized,age_weeks,tissue,sex,intervention,fastq_gib
GSE80672,GSM2132724,SRR3440577;SRR3440578,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440577_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440578_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440577_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440578_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,43.457,blood,M,CR,8.513405
GSE80672,GSM2132725,SRR3440579,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440579_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440579_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,43.457,blood,M,CR,3.0737
GSE80672,GSM2132726,SRR3440580;SRR3440581,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440580_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440581_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440580_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440581_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,43.457,blood,M,CR,12.060756999999999
GSE80672,GSM2132727,SRR3440582,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440582_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440582_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,43.457,blood,M,CR,8.998703
GSE80672,GSM2132728,SRR3440583;SRR3440584,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440583_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440584_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440583_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440584_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,43.457,blood,M,CR,9.32732
GSE80672,GSM2132729,SRR3440585;SRR3440586,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440585_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440586_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440585_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440586_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,78.223,blood,M,CR,11.906893
GSE80672,GSM2132730,SRR3440587,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440587_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440587_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,78.223,blood,M,CR,6.089092
GSE80672,GSM2132731,SRR3440588;SRR3440589,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440588_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440589_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440588_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440589_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,78.223,blood,M,CR,8.014037
GSE80672,GSM2132732,SRR3440590,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440590_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440590_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,78.223,blood,M,CR,2.739239
GSE80672,GSM2132733,SRR3440591;SRR3440592,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440591_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440592_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440591_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440592_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,78.223,blood,M,CR,7.990544
GSE80672,GSM2132754,SRR3440622;SRR3440623,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440622_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440623_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440622_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440623_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,91.26,blood,M,CR,5.9637150000000005
