dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,pilot_priority,queue_status,bismark_authorized,training_authorized,age_weeks,tissue,sex,intervention,fastq_gib
GSE80672,GSM2132922,SRR3440865;SRR3440866,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440865_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440866_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440865_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440866_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,121.68,blood,M,control,15.883645
GSE80672,GSM2132923,SRR3440867;SRR3440868,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440867_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440868_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440867_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440868_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,121.68,blood,M,control,15.702727
GSE80672,GSM2132924,SRR3440869,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440869_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440869_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,121.68,blood,M,control,9.681224
GSE80672,GSM2132925,SRR3440870;SRR3440871,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440870_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440871_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440870_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440871_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,121.68,blood,M,control,11.162048
GSE80672,GSM2132926,SRR3440872;SRR3440873,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440872_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440873_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440872_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440873_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,121.68,blood,M,control,14.107402999999998
GSE80672,GSM2132927,SRR3440874;SRR3440875,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440874_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440875_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440874_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440875_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,121.68,blood,M,control,12.518703
GSE80672,GSM2132928,SRR3440876;SRR3440877,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440876_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440877_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440876_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440877_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,121.68,blood,M,control,14.715782
GSE80672,GSM2132929,SRR3440878,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440878_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440878_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,121.68,blood,M,control,10.059526
GSE80672,GSM2132930,SRR3440879;SRR3440880,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440879_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440880_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440879_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440880_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,130.371,blood,M,control,12.267955
GSE80672,GSM2132932,SRR3440882,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440882_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440882_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,130.371,blood,M,control,8.624176
GSE80672,GSM2132933,SRR3440884,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440884_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440884_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,130.371,blood,M,control,9.642821
GSE80672,GSM2132934,SRR3440886;SRR3440887,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440886_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440887_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440886_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440887_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,130.371,blood,M,control,12.723841
GSE80672,GSM2132935,SRR3440888;SRR3440889,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440888_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440889_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440888_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440889_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,130.371,blood,M,control,12.061748
GSE80672,GSM2132938,SRR3440893,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440893_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440893_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,130.371,blood,M,control,7.093821
GSE80672,GSM2132939,SRR3440894;SRR3440895,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440894_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440895_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440894_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440895_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,139.063,blood,M,control,21.480305
GSE80672,GSM2132940,SRR3440896,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440896_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440896_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,139.063,blood,M,control,9.257755
GSE80672,GSM2132941,SRR3440898;SRR3440899,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440898_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440899_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440898_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440899_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,139.063,blood,M,control,11.418144000000002
GSE80672,GSM2132943,SRR3440902,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440902_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440902_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,139.063,blood,M,control,8.723143
GSE80672,GSM2132944,SRR3440904;SRR3440905,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440904_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440905_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440904_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440905_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,139.063,blood,M,control,11.608693
GSE80672,GSM2132946,SRR3440907;SRR3440908,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440907_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440908_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440907_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440908_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,147.754,blood,M,control,16.020367
GSE80672,GSM2132947,SRR3440909;SRR3440910,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440909_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440910_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440909_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440910_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,147.754,blood,M,control,13.465685
