dataset,run_accession,local_fastq_files,local_fastq_count,local_size_bytes,mates_present,sample_id,library_layout,library_strategy,library_selection,sample_accession,experiment_accession,experiment_title,biosample,bioproject,run_total_bases,metadata_status
GSE120137,SRR7871490,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871490.fastq,1,8024252570,,GSM3394172,SINGLE,Bisulfite-Seq,RANDOM,SRS3796267,SRX4710569,GSM3394172: Mouse_Adipose_SH001; Mus musculus; Bisulfite-Seq,SAMN10085156,PRJNA491712,2564932976,mapped
GSE120137,SRR7871491,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871491.fastq,1,12490088148,,GSM3394173,SINGLE,Bisulfite-Seq,RANDOM,SRS3796268,SRX4710570,GSM3394173: Mouse_Adipose_SH002; Mus musculus; Bisulfite-Seq,SAMN10085155,PRJNA491712,3988558276,mapped
GSE120137,SRR7871492,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871492.fastq,1,12304089170,,GSM3394174,SINGLE,Bisulfite-Seq,RANDOM,SRS3796269,SRX4710571,GSM3394174: Mouse_Adipose_SH003; Mus musculus; Bisulfite-Seq,SAMN10085154,PRJNA491712,3929241784,mapped
GSE120137,SRR7871493,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871493.fastq,1,10441757298,,GSM3394175,SINGLE,Bisulfite-Seq,RANDOM,SRS3796270,SRX4710572,GSM3394175: Mouse_Adipose_SH004; Mus musculus; Bisulfite-Seq,SAMN10085153,PRJNA491712,3335595599,mapped
GSE120137,SRR7871494,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871494.fastq,1,7829593914,,GSM3394176,SINGLE,Bisulfite-Seq,RANDOM,SRS3796271,SRX4710573,GSM3394176: Mouse_Adipose_SH005; Mus musculus; Bisulfite-Seq,SAMN10085152,PRJNA491712,2502848377,mapped
GSE120137,SRR7871495,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871495.fastq,1,14455973226,,GSM3394177,SINGLE,Bisulfite-Seq,RANDOM,SRS3796272,SRX4710574,GSM3394177: Mouse_Adipose_SH006; Mus musculus; Bisulfite-Seq,SAMN10085151,PRJNA491712,4614987142,mapped
GSE120137,SRR7871496,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871496.fastq,1,13488596046,,GSM3394178,SINGLE,Bisulfite-Seq,RANDOM,SRS3796273,SRX4710575,GSM3394178: Mouse_Adipose_SH007; Mus musculus; Bisulfite-Seq,SAMN10085150,PRJNA491712,4306731910,mapped
GSE120137,SRR7871497,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871497.fastq,1,13030886924,,GSM3394179,SINGLE,Bisulfite-Seq,RANDOM,SRS3796274,SRX4710576,GSM3394179: Mouse_Adipose_SH008; Mus musculus; Bisulfite-Seq,SAMN10085149,PRJNA491712,4160938309,mapped
GSE120137,SRR7871498,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871498.fastq,1,12420434598,,GSM3394180,SINGLE,Bisulfite-Seq,RANDOM,SRS3796275,SRX4710577,GSM3394180: Mouse_Adipose_SH009; Mus musculus; Bisulfite-Seq,SAMN10085186,PRJNA491712,3966098199,mapped
GSE120137,SRR7871499,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871499.fastq,1,12526771710,,GSM3394181,SINGLE,Bisulfite-Seq,RANDOM,SRS3796276,SRX4710578,GSM3394181: Mouse_Adipose_SH010; Mus musculus; Bisulfite-Seq,SAMN10085185,PRJNA491712,4000050561,mapped
GSE120137,SRR7871500,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871500.fastq,1,15386497132,,GSM3394182,SINGLE,Bisulfite-Seq,RANDOM,SRS3796277,SRX4710579,GSM3394182: Mouse_Adipose_SH011; Mus musculus; Bisulfite-Seq,SAMN10085184,PRJNA491712,4910696962,mapped
