config_id,status,architecture,imputation,min_train_feature_presence,min_train_group_feature_presence,max_train_dataset_mean_shift,min_train_agebin_feature_presence,target_transform,epochs,patience,batch_size,weight_decay,huber_beta,amp,bottleneck,cnn_channels,cnn_kernel,token_dim,transformer_heads,transformer_layers,dae_latent,dae_noise,dae_pretrain_epochs,n_feature_prefilter,preprocess,width,depth,dropout,lr,n_samples,pearson_r,mae_weeks,medae_weeks,rmse_weeks,r2,cross_dataset_mae,cr_detection_auc,exec_time_sec,group_score
v22_007_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,completed,res_mlp,median,0.8,0.8,0.125,0.8,log1p_days,300,30,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,1000,robust,192,3,0.1,0.0003,1219,0.7099,20.45,14.777,28.521,0.4004,22.425,0.7832,55.1,0.637653
v22_009_res_mlp_top1000_robust_w256_d3_do0p1_lr0p0003,completed,res_mlp,median,0.8,0.8,0.125,0.8,log1p_days,300,30,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,1000,robust,256,3,0.1,0.0003,1219,0.6819,21.495,15.916,29.869,0.3424,23.213,0.7488,69.8,0.603629
v22_008_res_mlp_top1000_robust_w192_d4_do0p1_lr0p0003,completed,res_mlp,median,0.8,0.8,0.125,0.8,log1p_days,300,30,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,1000,robust,192,4,0.1,0.0003,1219,0.6719,21.619,15.407,30.136,0.3306,22.899,0.7569,70.1,0.5982
v22_011_res_mlp_top1000_robust_w384_d3_do0p1_lr0p0003,completed,res_mlp,median,0.8,0.8,0.125,0.8,log1p_days,300,30,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,1000,robust,384,3,0.1,0.0003,1219,0.6635,22.078,16.33,30.359,0.3207,24.132,0.7325,53.2,0.586725
v22_010_res_mlp_top1000_robust_w256_d4_do0p1_lr0p0003,completed,res_mlp,median,0.8,0.8,0.125,0.8,log1p_days,300,30,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,1000,robust,256,4,0.1,0.0003,1219,0.6655,21.986,16.5,30.383,0.3196,23.727,0.6892,73.0,0.579725
v22_005_res_mlp_top500_robust_w384_d3_do0p1_lr0p0003,completed,res_mlp,median,0.8,0.8,0.125,0.8,log1p_days,300,30,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,500,robust,384,3,0.1,0.0003,1219,0.6562,22.716,17.147,31.361,0.2751,24.587,0.7806,57.2,0.579472
v22_006_res_mlp_top500_robust_w384_d4_do0p1_lr0p0003,completed,res_mlp,median,0.8,0.8,0.125,0.8,log1p_days,300,30,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,500,robust,384,4,0.1,0.0003,1219,0.6651,22.724,16.778,31.149,0.2849,24.217,0.7059,63.8,0.571553
v22_003_res_mlp_top500_robust_w256_d3_do0p1_lr0p0003,completed,res_mlp,median,0.8,0.8,0.125,0.8,log1p_days,300,30,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,500,robust,256,3,0.1,0.0003,1219,0.6456,23.106,17.164,31.381,0.2742,25.04,0.7646,73.9,0.57113
v22_012_res_mlp_top1000_robust_w384_d4_do0p1_lr0p0003,completed,res_mlp,median,0.8,0.8,0.125,0.8,log1p_days,300,30,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,1000,robust,384,4,0.1,0.0003,1219,0.6447,22.794,17.156,31.054,0.2892,24.396,0.6672,79.7,0.558018
v22_004_res_mlp_top500_robust_w256_d4_do0p1_lr0p0003,completed,res_mlp,median,0.8,0.8,0.125,0.8,log1p_days,300,30,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,500,robust,256,4,0.1,0.0003,1219,0.6147,24.159,18.009,32.651,0.2142,25.568,0.7757,75.9,0.543743
v22_001_res_mlp_top500_robust_w192_d3_do0p1_lr0p0003,completed,res_mlp,median,0.8,0.8,0.125,0.8,log1p_days,300,30,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,500,robust,192,3,0.1,0.0003,1219,0.6298,23.438,17.019,32.031,0.2438,25.59,0.6902,81.8,0.543537
v22_002_res_mlp_top500_robust_w192_d4_do0p1_lr0p0003,completed,res_mlp,median,0.8,0.8,0.125,0.8,log1p_days,300,30,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,500,robust,192,4,0.1,0.0003,1219,0.6046,24.647,18.894,32.808,0.2066,25.798,0.7374,62.8,0.5296
