config_id,dataset,n_samples,pearson_r,mae_weeks,rmse_weeks,r2,cr_detection_auc,old_104w_n,old_104w_mae_weeks
v22_007_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,GSE120137,549,0.6321,21.093,27.89,0.0677,,0,
v22_007_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,GSE80672,255,0.9165,15.426,20.041,0.8125,0.8349,74,14.15
v22_007_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,GSE93957,62,0.7832,8.02,10.498,0.4829,,0,
v22_007_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,GSE121141,81,0.6068,27.043,37.064,0.0794,,19,58.685
v22_007_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,GSE60012,152,0.7301,15.072,20.52,-4.5777,,0,
v22_007_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,GSE213628,120,0.575,26.205,31.78,0.2183,,42,31.043
v22_009_res_mlp_top1000_robust_w256_d3_do0p1_lr0p0003,GSE120137,549,0.6361,21.529,28.594,0.02,,0,
v22_009_res_mlp_top1000_robust_w256_d3_do0p1_lr0p0003,GSE80672,255,0.8921,17.447,22.654,0.7605,0.8156,74,20.005
v22_009_res_mlp_top1000_robust_w256_d3_do0p1_lr0p0003,GSE93957,62,0.741,7.855,9.961,0.5345,,0,
v22_009_res_mlp_top1000_robust_w256_d3_do0p1_lr0p0003,GSE121141,81,0.5741,28.696,39.644,-0.0533,,19,63.871
v22_009_res_mlp_top1000_robust_w256_d3_do0p1_lr0p0003,GSE60012,152,0.7003,10.931,16.406,-2.5654,,0,
v22_009_res_mlp_top1000_robust_w256_d3_do0p1_lr0p0003,GSE213628,120,0.6274,23.201,28.825,0.3569,,42,26.231
v22_008_res_mlp_top1000_robust_w192_d4_do0p1_lr0p0003,GSE120137,549,0.615,23.342,30.755,-0.1336,,0,
v22_008_res_mlp_top1000_robust_w192_d4_do0p1_lr0p0003,GSE80672,255,0.8939,16.32,22.002,0.7741,0.8132,74,18.407
v22_008_res_mlp_top1000_robust_w192_d4_do0p1_lr0p0003,GSE93957,62,0.7347,8.408,10.728,0.46,,0,
v22_008_res_mlp_top1000_robust_w192_d4_do0p1_lr0p0003,GSE121141,81,0.5409,31.892,43.448,-0.2651,,19,70.054
v22_008_res_mlp_top1000_robust_w192_d4_do0p1_lr0p0003,GSE60012,152,0.7312,12.835,17.475,-3.0452,,0,
v22_008_res_mlp_top1000_robust_w192_d4_do0p1_lr0p0003,GSE213628,120,0.5739,25.127,30.798,0.2659,,42,37.501
v22_011_res_mlp_top1000_robust_w384_d3_do0p1_lr0p0003,GSE120137,549,0.6323,22.904,30.486,-0.114,,0,
v22_011_res_mlp_top1000_robust_w384_d3_do0p1_lr0p0003,GSE80672,255,0.8502,16.548,24.619,0.7171,0.8222,74,20.178
v22_011_res_mlp_top1000_robust_w384_d3_do0p1_lr0p0003,GSE93957,62,0.7817,7.249,9.178,0.6048,,0,
v22_011_res_mlp_top1000_robust_w384_d3_do0p1_lr0p0003,GSE121141,81,0.5626,29.186,39.883,-0.066,,19,62.909
v22_011_res_mlp_top1000_robust_w384_d3_do0p1_lr0p0003,GSE60012,152,0.6919,17.559,23.445,-6.2813,,0,
v22_011_res_mlp_top1000_robust_w384_d3_do0p1_lr0p0003,GSE213628,120,0.6359,23.207,29.405,0.3308,,42,29.737
