task_id,config_id,task_kind,status,eval_mode,heldout_dataset,randomize,out_dir,imputation,min_train_feature_presence,min_train_group_feature_presence,max_train_dataset_mean_shift,min_train_agebin_feature_presence,target_transform,batch_size,weight_decay,huber_beta,amp,bottleneck,cnn_channels,cnn_kernel,token_dim,transformer_heads,transformer_layers,dae_latent,dae_noise,dae_pretrain_epochs,architecture,n_feature_prefilter,preprocess,width,depth,dropout,lr,n_samples,pearson_r,mae_weeks,medae_weeks,rmse_weeks,r2,cross_dataset_mae,cr_detection_auc,cr_cohens_d,exec_time_sec,group_score,lodo_mean_mae_weeks,lodo_worst_mae_weeks,lodo_mean_pearson_r,lodo_min_pearson_r,lodo_cr_auc,old_104w_weighted_mae_weeks,lodo_score,final_score
group::v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003,v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_007_res_mlp_top1500_robust_w128_d2_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,128,2,0.1,0.0003,1219,0.7088,20.361,14.131,28.883,0.3851,22.405,0.8071,1.0865,80.1,0.638213,17.464,29.15,0.7105,0.5496,0.8159,24.523,0.642138,1.280351
group::v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.1,0.0003,1219,0.7099,20.45,14.777,28.521,0.4004,22.425,0.7832,1.0002,62.0,0.637653,18.81,27.043,0.7073,0.575,0.8349,25.673,0.640402,1.2780550000000002
group::v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001,v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,192,3,0.15,0.0001,1219,0.7071,20.32,14.278,28.598,0.3972,22.492,0.7218,0.7718,81.4,0.625301,19.449,29.898,0.7086,0.5365,0.8024,33.181,0.62133,1.246631
group::v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003,v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,256,3,0.1,0.0003,1219,0.6869,20.942,14.594,29.851,0.3432,23.491,0.7502,0.8333,65.9,0.607901,18.448,28.854,0.7131,0.6011,0.8114,26.274,0.636559,1.2444600000000001
group::v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003,v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,2,0.1,0.0003,1219,0.7025,20.602,14.649,28.809,0.3883,22.149,0.7123,0.7078,67.5,0.618765,18.603,28.305,0.6773,0.5076,0.7934,28.451,0.62188,1.240645
group::v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003,v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.05,0.0003,1219,0.6969,21.588,16.039,29.764,0.347,23.446,0.7731,0.9578,63.0,0.614166,19.222,31.086,0.6966,0.5566,0.8761,33.942,0.626198,1.240364
group::v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003,v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,3,0.1,0.0003,1219,0.7066,20.49,15.426,28.146,0.4161,21.66,0.7355,0.7929,78.3,0.6315,19.179,30.515,0.6934,0.5464,0.7399,34.865,0.606789,1.238289
group::v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001,v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.15,0.0001,1219,0.6842,21.313,15.953,29.317,0.3665,24.122,0.7375,0.8093,98.4,0.608874,20.268,30.796,0.6728,0.487,0.8494,27.855,0.61554,1.224414
group::v23_016_res_mlp_top2000_robust_w192_d3_do0p1_lr0p0003,v23_016_res_mlp_top2000_robust_w192_d3_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_016_res_mlp_top2000_robust_w192_d3_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,192,3,0.1,0.0003,1219,0.6916,21.332,15.273,29.431,0.3616,22.876,0.7074,0.7108,88.0,0.604875,,,,,,,-1.0,0.604875
group::v23_015_res_mlp_top2000_robust_w192_d2_do0p1_lr0p0003,v23_015_res_mlp_top2000_robust_w192_d2_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_015_res_mlp_top2000_robust_w192_d2_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,192,2,0.1,0.0003,1219,0.6855,21.869,15.49,30.253,0.3254,23.454,0.7748,0.9379,56.2,0.604154,,,,,,,-1.0,0.604154
