sample_id,title,age_days,age_weeks,raw_age_value,raw_age_unit,normalized_age_unit,age_unit_source,age_parse_warning,tissue,strain,sex,intervention,dataset_batch,assay,fastq_on_disk,parse_status,raw_source_name,raw_characteristics,sample_id_source,metadata_source,matrix_sample_id,source_column,condition_detail,condition_family,raw_v24_signal_screen
GSM3426754,Br0603,182.52,26.074,6.0,months,months,parsed,,brain_cortex,C57BL/6,M,control,GSE121141,RRBS,True,ok,Cortex,"strain: C57BL/6 | gender: Male | age,months: 6 | genotype: Wild Type | tissue: Cortex",,,,,,,True
GSM3426755,Br0607,182.52,26.074,6.0,months,months,parsed,,brain_cortex,C57BL/6,M,control,GSE121141,RRBS,True,ok,Cortex,"strain: C57BL/6 | gender: Male | age,months: 6 | genotype: Wild Type | tissue: Cortex",,,,,,,True
GSM3426757,Br0609,182.52,26.074,6.0,months,months,parsed,,brain_cortex,C57BL/6,M,control,GSE121141,RRBS,True,ok,Cortex,"strain: C57BL/6 | gender: Male | age,months: 6 | genotype: Wild Type | tissue: Cortex",,,,,,,True
GSM3426758,Br0610,182.52,26.074,6.0,months,months,parsed,,brain_cortex,C57BL/6,M,control,GSE121141,RRBS,True,ok,Cortex,"strain: C57BL/6 | gender: Male | age,months: 6 | genotype: Wild Type | tissue: Cortex",,,,,,,True
GSM3426759,Br1203,365.04,52.149,12.0,months,months,parsed,,brain_cortex,C57BL/6,M,control,GSE121141,RRBS,True,ok,Cortex,"strain: C57BL/6 | gender: Male | age,months: 12 | genotype: Wild Type | tissue: Cortex",,,,,,,True
GSM3426760,Br1204,365.04,52.149,12.0,months,months,parsed,,brain_cortex,C57BL/6,M,control,GSE121141,RRBS,True,ok,Cortex,"strain: C57BL/6 | gender: Male | age,months: 12 | genotype: Wild Type | tissue: Cortex",,,,,,,True
GSM3426761,Br1207,365.04,52.149,12.0,months,months,parsed,,brain_cortex,C57BL/6,M,control,GSE121141,RRBS,True,ok,Cortex,"strain: C57BL/6 | gender: Male | age,months: 12 | genotype: Wild Type | tissue: Cortex",,,,,,,True
GSM2132717,20D07,20.381,2.912,0.67,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,control,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 0.67 | gender: Male | genetic condition: Wild Type | diet: standard,,,,,,,True
GSM2132815,K2,76.05,10.864,2.5,years,months,dataset_override_literature_geo,age_unit_override:years->months,fibroblast,"Kidney Fibroblasts, C57BL/6",M,control,GSE80672,RRBS,True,ok,Kidney fibroblasts,"tissue: Primary Renal Fibroblasts | strain: Kidney Fibroblasts, C57BL/6 | age (years): 2.5 (at isolation) | gender: Male | genetic condition: Wild Type | diet: standard",,,,,,,True
GSM2132830,M0402,121.68,17.383,4.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,control,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 4 | gender: Male | genetic condition: Wild Type | diet: standard,,,,,,,True
GSM2132770,DW2,182.52,26.074,6.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,(DW/J x C3H/HEJ)/F2,F,control,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: (DW/J x C3H/HEJ)/F2 | age (years): 6 | gender: Female | genetic condition: Snell Dwarf | diet: standard,,,,,,,True
GSM2132852,M0806,243.36,34.766,8.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,control,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 8 | gender: Male | genetic condition: Wild Type | diet: standard,,,,,,,True
GSM2132724,B6_CR1001,304.2,43.457,10.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,CR,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 10 | gender: Male | genetic condition: Wild Type | diet: Calorie Restricted,,,,,,,True
GSM2132725,B6_CR1002,304.2,43.457,10.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,CR,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 10 | gender: Male | genetic condition: Wild Type | diet: Calorie Restricted,,,,,,,True
GSM2132727,B6_CR1004,304.2,43.457,10.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,CR,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 10 | gender: Male | genetic condition: Wild Type | diet: Calorie Restricted,,,,,,,True
GSM2132863,M10_7509,304.2,43.457,10.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,control,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 10 | gender: Male | genetic condition: Wild Type | diet: standard,,,,,,,True
GSM2132730,B6_CR1802,547.56,78.223,18.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,CR,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 18 | gender: Male | genetic condition: Wild Type | diet: Calorie Restricted,,,,,,,True
GSM2132732,B6_CR1804,547.56,78.223,18.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,CR,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 18 | gender: Male | genetic condition: Wild Type | diet: Calorie Restricted,,,,,,,True
GSM2132758,B6D2F1_CR2105,638.82,91.26,21.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,B6D2F1,M,CR,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: B6D2F1 | age (years): 21 | gender: Male | genetic condition: Wild Type | diet: Calorie Restricted,,,,,,,True
GSM2132759,b6d2f1_CR2106,638.82,91.26,21.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,B6D2F1,M,CR,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: B6D2F1 | age (years): 21 | gender: Male | genetic condition: Wild Type | diet: Calorie Restricted,,,,,,,True
GSM2132734,B6_CR2301,699.66,99.951,23.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,CR,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 23 | gender: Male | genetic condition: Wild Type | diet: Calorie Restricted,,,,,,,True
GSM2132736,B6_CR2303,699.66,99.951,23.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,CR,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 23 | gender: Male | genetic condition: Wild Type | diet: Calorie Restricted,,,,,,,True
GSM2132737,B6_CR2304,699.66,99.951,23.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,CR,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 23 | gender: Male | genetic condition: Wild Type | diet: Calorie Restricted,,,,,,,True
GSM2132905,M2404,730.08,104.297,24.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,control,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 24 | gender: Male | genetic condition: Wild Type | diet: standard,,,,,,,True
GSM2132915,M2605,790.92,112.989,26.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,control,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 26 | gender: Male | genetic condition: Wild Type | diet: standard,,,,,,,True
GSM2132739,B6_CR2701,821.34,117.334,27.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,CR,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 27 | gender: Male | genetic condition: Wild Type | diet: Calorie Restricted,,,,,,,True
GSM2132742,B6_CR2704,821.34,117.334,27.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,CR,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 27 | gender: Male | genetic condition: Wild Type | diet: Calorie Restricted,,,,,,,True
GSM2132921,M2801,851.76,121.68,28.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,control,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 28 | gender: Male | genetic condition: Wild Type | diet: standard,,,,,,,True
GSM2132942,M3207,973.44,139.063,32.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,control,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 32 | gender: Male | genetic condition: Wild Type | diet: standard,,,,,,,True
GSM2132956,M3501R,1064.7,152.1,35.0,years,months,dataset_override_literature_geo,age_unit_override:years->months,blood,C57BL/6,M,control,GSE80672,RRBS,True,ok,Whole Blood,tissue: whole blood | strain: C57BL/6 | age (years): 35 | gender: Male | genetic condition: Wild Type | diet: standard,,,,,,,True
