dataset,sra_accession,geo_series,status,timestamp,elapsed_sec,bytes_downloaded,fastq_files,failure_count,error
GSE120137,SRR7871490,GSE120137,completed,2026-04-23T19:59:08.781633Z,2480.97,8024252570,['SRR7871490.fastq'],0,
GSE120137,SRR7871491,GSE120137,completed,2026-04-23T21:01:48.265529Z,3759.48,12490088148,['SRR7871491.fastq'],0,
GSE120137,SRR7871492,GSE120137,completed,2026-04-23T22:01:54.643730Z,3606.38,12304089170,['SRR7871492.fastq'],0,
GSE120137,SRR7871493,GSE120137,completed,2026-04-23T23:47:11.217626Z,3449.13,10441757298,['SRR7871493.fastq'],0,
GSE120137,SRR7871494,GSE120137,completed,2026-04-24T00:42:48.823787Z,3334.8,7829593914,['SRR7871494.fastq'],0,
GSE120137,SRR7871495,GSE120137,completed,2026-04-24T02:48:17.241555Z,7526.29,14455973226,['SRR7871495.fastq'],0,
GSE120137,SRR7871561,GSE120137,completed,2026-04-26T18:02:49.400072Z,6528.25,5747974336,['SRR7871561.fastq'],0,
GSE120137,SRR7871577,GSE120137,completed,2026-04-26T20:04:07.485091Z,8085.14,7095578180,['SRR7871577.fastq'],0,
GSE120137,SRR7871582,GSE120137,completed,2026-04-26T21:02:41.659265Z,8330.45,8127593190,['SRR7871582.fastq'],0,
GSE120137,SRR7871619,GSE120137,completed,2026-04-27T01:05:35.711370Z,4468.97,3540403286,['SRR7871619.fastq'],0,
GSE120137,SRR7871618,GSE120137,completed,2026-04-27T01:16:46.721192Z,2519.61,4054937428,['SRR7871618.fastq'],0,
GSE120137,SRR7871622,GSE120137,completed,2026-04-27T01:23:27.741470Z,3654.91,3030354272,['SRR7871622.fastq'],0,
GSE120137,SRR7871623,GSE120137,completed,2026-04-27T01:32:14.431770Z,4001.93,2862067828,['SRR7871623.fastq'],0,
GSE120137,SRR7871624,GSE120137,completed,2026-04-27T01:38:42.183864Z,4240.63,3118402120,['SRR7871624.fastq'],0,
GSE120137,SRR7871620,GSE120137,completed,2026-04-27T01:40:21.477070Z,6474.27,4702478934,['SRR7871620.fastq'],0,
GSE120137,SRR7871621,GSE120137,completed,2026-04-27T01:40:36.233618Z,4903.13,3757225730,['SRR7871621.fastq'],0,
GSE120137,SRR7871625,GSE120137,completed,2026-04-27T02:43:30.665413Z,3887.53,2983971074,['SRR7871625.fastq'],0,
GSE120137,SRR7871627,GSE120137,completed,2026-04-27T03:32:53.784740Z,5576.94,4375065436,['SRR7871627.fastq'],0,
GSE120137,SRR7871631,GSE120137,completed,2026-04-27T03:42:11.285536Z,5159.77,3918429746,['SRR7871631.fastq'],0,
GSE120137,SRR7871632,GSE120137,completed,2026-04-27T03:45:44.999022Z,5098.77,3953645194,['SRR7871632.fastq'],0,
GSE120137,SRR7871630,GSE120137,completed,2026-04-27T03:54:46.401101Z,6149.43,4916830390,['SRR7871630.fastq'],0,
GSE120137,SRR7871628,GSE120137,completed,2026-04-27T04:00:24.367279Z,6910.17,5492196510,['SRR7871628.fastq'],0,
GSE120137,SRR7871629,GSE120137,completed,2026-04-27T04:01:30.982102Z,6664.42,5403135934,['SRR7871629.fastq'],0,
GSE120137,SRR7871633,GSE120137,completed,2026-04-27T04:36:53.559629Z,6328.31,3978606184,['SRR7871633.fastq'],0,
GSE120137,SRR7871639,GSE120137,completed,2026-04-27T06:14:46.725752Z,4795.06,3635230646,['SRR7871639.fastq'],0,
GSE120137,SRR7871642,GSE120137,completed,2026-04-27T06:20:12.977100Z,4268.84,3069716016,['SRR7871642.fastq'],0,
GSE120137,SRR7871640,GSE120137,completed,2026-04-27T06:21:10.706972Z,4849.96,3838406502,['SRR7871640.fastq'],0,
