dataset,run_accession,gsm,sample_accession,experiment_accession,experiment_title,library_strategy,library_source,library_selection,library_layout,local_fastq_count,local_fastq_complete,expected_fastq,latest_log_status,latest_log_failure_count,latest_log_error_class,recommended_repair_action,run_total_bases,run_total_spots
GSE120137,SRR7871546,GSM3394228,SRS3796323,SRX4710625,GSM3394228: Mouse_Blood_SH001; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),failed,8,orphan_lock_retry,"after confirming no active prefetch/fasterq process for this run, remove orphan .sra.lock in SSD cache and rerun prefetch/fasterq; if repeated, ENA FASTQ fallback",4126668504,40858104
GSE120137,SRR7871547,GSM3394229,SRS3796324,SRX4710626,GSM3394229: Mouse_Blood_SH005; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),failed,8,orphan_lock_retry,"after confirming no active prefetch/fasterq process for this run, remove orphan .sra.lock in SSD cache and rerun prefetch/fasterq; if repeated, ENA FASTQ fallback",2504284395,24794895
GSE120137,SRR7871548,GSM3394230,SRS3796325,SRX4710627,GSM3394230: Mouse_Blood_SH006; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),failed,8,orphan_lock_retry,"after confirming no active prefetch/fasterq process for this run, remove orphan .sra.lock in SSD cache and rerun prefetch/fasterq; if repeated, ENA FASTQ fallback",3964907712,39256512
GSE120137,SRR7871549,GSM3394231,SRS3796326,SRX4710628,GSM3394231: Mouse_Blood_SH007; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),failed,8,orphan_lock_retry,"after confirming no active prefetch/fasterq process for this run, remove orphan .sra.lock in SSD cache and rerun prefetch/fasterq; if repeated, ENA FASTQ fallback",3793138426,37555826
GSE120137,SRR7871550,GSM3394232,SRS3796328,SRX4710629,GSM3394232: Mouse_Blood_SH008; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,2609662846,25838246
GSE120137,SRR7871551,GSM3394233,SRS3796327,SRX4710630,GSM3394233: Mouse_Blood_SH009; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,1210994040,11990040
GSE120137,SRR7871552,GSM3394234,SRS3796329,SRX4710631,GSM3394234: Mouse_Blood_SH010; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,1187458212,11757012
GSE120137,SRR7871553,GSM3394235,SRS3796330,SRX4710632,GSM3394235: Mouse_Blood_SH011; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,1057189523,10467223
GSE120137,SRR7871554,GSM3394236,SRS3796331,SRX4710633,GSM3394236: Mouse_Blood_SH012; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,1563444246,15479646
GSE120137,SRR7871555,GSM3394237,SRS3796332,SRX4710634,GSM3394237: Mouse_Blood_SH013; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,0,False,single FASTQ (any run-prefixed FASTQ),,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,1054046403,10436103
