dataset,run_accession,gsm,sample_accession,experiment_accession,experiment_title,library_strategy,library_source,library_selection,library_layout,local_fastq_count,local_fastq_complete,expected_fastq,latest_log_status,latest_log_failure_count,latest_log_error_class,recommended_repair_action,run_total_bases,run_total_spots
GSE120137,SRR7871490,GSM3394172,SRS3796267,SRX4710569,GSM3394172: Mouse_Adipose_SH001; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,2564932976,25395376
GSE120137,SRR7871491,GSM3394173,SRS3796268,SRX4710570,GSM3394173: Mouse_Adipose_SH002; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3988558276,39490676
GSE120137,SRR7871492,GSM3394174,SRS3796269,SRX4710571,GSM3394174: Mouse_Adipose_SH003; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3929241784,38903384
GSE120137,SRR7871493,GSM3394175,SRS3796270,SRX4710572,GSM3394175: Mouse_Adipose_SH004; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3335595599,33025699
GSE120137,SRR7871494,GSM3394176,SRS3796271,SRX4710573,GSM3394176: Mouse_Adipose_SH005; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,2502848377,24780677
GSE120137,SRR7871495,GSM3394177,SRS3796272,SRX4710574,GSM3394177: Mouse_Adipose_SH006; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,4614987142,45692942
GSE120137,SRR7871496,GSM3394178,SRS3796273,SRX4710575,GSM3394178: Mouse_Adipose_SH007; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),,,not_needed,already has expected FASTQ files,4306731910,42640910
GSE120137,SRR7871497,GSM3394179,SRS3796274,SRX4710576,GSM3394179: Mouse_Adipose_SH008; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,4160938309,41197409
GSE120137,SRR7871498,GSM3394180,SRS3796275,SRX4710577,GSM3394180: Mouse_Adipose_SH009; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3966098199,39268299
GSE120137,SRR7871499,GSM3394181,SRS3796276,SRX4710578,GSM3394181: Mouse_Adipose_SH010; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,4000050561,39604461
GSE120137,SRR7871500,GSM3394182,SRS3796277,SRX4710579,GSM3394182: Mouse_Adipose_SH011; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,4910696962,48620762
GSE120137,SRR7871501,GSM3394183,SRS3796278,SRX4710580,GSM3394183: Mouse_Adipose_SH012; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3125605186,30946586
GSE120137,SRR7871502,GSM3394184,SRS3796279,SRX4710581,GSM3394184: Mouse_Adipose_SH013; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3357014063,33237763
GSE120137,SRR7871503,GSM3394185,SRS3796280,SRX4710582,GSM3394185: Mouse_Adipose_SH014; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3465970439,34316539
GSE120137,SRR7871504,GSM3394186,SRS3796281,SRX4710583,GSM3394186: Mouse_Adipose_SH015; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,2708994831,26821731
GSE120137,SRR7871505,GSM3394187,SRS3796282,SRX4710584,GSM3394187: Mouse_Adipose_SH016; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3833659323,37957023
GSE120137,SRR7871506,GSM3394188,SRS3796284,SRX4710585,GSM3394188: Mouse_Adipose_SH017; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3405404779,33716879
GSE120137,SRR7871507,GSM3394189,SRS3796283,SRX4710586,GSM3394189: Mouse_Adipose_SH018; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3348063443,33149143
GSE120137,SRR7871508,GSM3394190,SRS3796285,SRX4710587,GSM3394190: Mouse_Adipose_SH019; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3411551437,33777737
GSE120137,SRR7871509,GSM3394191,SRS3796287,SRX4710588,GSM3394191: Mouse_Adipose_SH020; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3205236111,31735011
GSE120137,SRR7871510,GSM3394192,SRS3796288,SRX4710589,GSM3394192: Mouse_Adipose_SH021; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3352016987,33188287
GSE120137,SRR7871511,GSM3394193,SRS3796286,SRX4710590,GSM3394193: Mouse_Adipose_SH022; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3240829925,32087425
GSE120137,SRR7871512,GSM3394194,SRS3796289,SRX4710591,GSM3394194: Mouse_Adipose_SH023; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,2384693325,23610825
GSE120137,SRR7871513,GSM3394195,SRS3796290,SRX4710592,GSM3394195: Mouse_Adipose_SH024; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,SINGLE,1,True,single FASTQ (any run-prefixed FASTQ),completed,0,not_needed,already has expected FASTQ files,3540057575,35050075
