sample_id,title,age_days,age_weeks,raw_age_value,raw_age_unit,normalized_age_unit,age_unit_source,age_parse_warning,tissue,strain,sex,intervention,dataset_batch,assay,fastq_on_disk,parse_status,raw_source_name,raw_characteristics,sample_id_source,metadata_source,matrix_sample_id,source_column,condition_detail,condition_family,header_tissue_raw,header_condition_clean,match_key,tile_sample_id,matrix_sample_id_crosswalk,source_column_crosswalk,match_key_crosswalk,gsm_sample_id,run_accession,experiment_accession,sample_accession,biosample,replicate_token,replicate_order,local_fastq_complete,mapping_status,mapping_confidence,raw_group_count,header_group_count,age_weeks_crosswalk,tissue_crosswalk,sex_crosswalk,condition_family_crosswalk,condition_detail_crosswalk,raw_experiment_title,gsm_crosswalk_status
GSE60012_tile_001,GSE60012 synthetic Liver_M_3w_NORMAL,21.0,3.0,3.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_001_Liver_M_3w_NORMAL | source_column: Liver_M_3w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_001_Liver_M_3w_NORMAL,Liver_M_3w_NORMAL,NORMAL,normal,Liver,NORMAL,liver|M|3w|normal,GSE60012_tile_001,GSE60012_tile_001_Liver_M_3w_NORMAL,Liver_M_3w_NORMAL,liver|M|3w|normal,GSM1463705,SRR1534553,SRX668034,SRS672523,SAMN02950318,42,42,True,mapped,exact_group_count_ordered,5,5,3.0,liver,M,normal,NORMAL,GSM1463705: RRBS_42_Mouse_Liver_M_3w_NORMAL; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_002,GSE60012 synthetic Liver_F_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_002_Liver_F_8w_NORMAL | source_column: Liver_F_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_002_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,NORMAL,normal,Liver,NORMAL,liver|F|8w|normal,GSE60012_tile_002,GSE60012_tile_002_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,liver|F|8w|normal,GSM1463685,SRR1534533,SRX668014,SRS672502,SAMN02950356,56,56,True,mapped,exact_group_count_ordered,5,5,8.0,liver,F,normal,NORMAL,GSM1463685: RRBS_56_Mouse_Liver_F_8w_NORMAL; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_003,GSE60012 synthetic Liver_F_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_003_Liver_F_8w_NORMAL | source_column: Liver_F_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_003_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,NORMAL,normal,Liver,NORMAL,liver|F|8w|normal,GSE60012_tile_003,GSE60012_tile_003_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,liver|F|8w|normal,GSM1463686,SRR1534534,SRX668015,SRS672504,SAMN02950357,57,57,True,mapped,exact_group_count_ordered,5,5,8.0,liver,F,normal,NORMAL,GSM1463686: RRBS_57_Mouse_Liver_F_8w_NORMAL; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_004,GSE60012 synthetic Liver_F_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_004_Liver_F_8w_NORMAL | source_column: Liver_F_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_004_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,NORMAL,normal,Liver,NORMAL,liver|F|8w|normal,GSE60012_tile_004,GSE60012_tile_004_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,liver|F|8w|normal,GSM1463687,SRR1534535,SRX668016,SRS672505,SAMN02950358,58,58,True,mapped,exact_group_count_ordered,5,5,8.0,liver,F,normal,NORMAL,GSM1463687: RRBS_58_Mouse_Liver_F_8w_NORMAL; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_005,GSE60012 synthetic Liver_F_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_005_Liver_F_8w_NORMAL | source_column: Liver_F_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_005_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,NORMAL,normal,Liver,NORMAL,liver|F|8w|normal,GSE60012_tile_005,GSE60012_tile_005_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,liver|F|8w|normal,GSM1463688,SRR1534536,SRX668017,SRS672506,SAMN02950359,59,59,True,mapped,exact_group_count_ordered,5,5,8.0,liver,F,normal,NORMAL,GSM1463688: RRBS_59_Mouse_Liver_F_8w_NORMAL; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_006,GSE60012 synthetic Liver_F_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,F,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_006_Liver_F_8w_NORMAL | source_column: Liver_F_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_006_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,NORMAL,normal,Liver,NORMAL,liver|F|8w|normal,GSE60012_tile_006,GSE60012_tile_006_Liver_F_8w_NORMAL,Liver_F_8w_NORMAL,liver|F|8w|normal,GSM1463689,SRR1534537,SRX668018,SRS672508,SAMN02950360,60,60,True,mapped,exact_group_count_ordered,5,5,8.0,liver,F,normal,NORMAL,GSM1463689: RRBS_60_Mouse_Liver_F_8w_NORMAL; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_007,GSE60012 synthetic Liver_M_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_007_Liver_M_8w_NORMAL | source_column: Liver_M_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_007_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,NORMAL,normal,Liver,NORMAL,liver|M|8w|normal,GSE60012_tile_007,GSE60012_tile_007_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,liver|M|8w|normal,GSM1463710,SRR1534558,SRX668039,SRS672528,SAMN02950323,51,51,True,mapped,exact_group_count_ordered,5,5,8.0,liver,M,normal,NORMAL,GSM1463710: RRBS_51_Mouse_Liver_M_8w_NORMAL; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_008,GSE60012 synthetic Liver_M_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_008_Liver_M_8w_NORMAL | source_column: Liver_M_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_008_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,NORMAL,normal,Liver,NORMAL,liver|M|8w|normal,GSE60012_tile_008,GSE60012_tile_008_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,liver|M|8w|normal,GSM1463711,SRR1534559,SRX668040,SRS672529,SAMN02950324,52,52,True,mapped,exact_group_count_ordered,5,5,8.0,liver,M,normal,NORMAL,GSM1463711: RRBS_52_Mouse_Liver_M_8w_NORMAL; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_009,GSE60012 synthetic Liver_M_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_009_Liver_M_8w_NORMAL | source_column: Liver_M_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_009_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,NORMAL,normal,Liver,NORMAL,liver|M|8w|normal,GSE60012_tile_009,GSE60012_tile_009_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,liver|M|8w|normal,GSM1463712,SRR1534560,SRX668041,SRS672531,SAMN02950325,53,53,True,mapped,exact_group_count_ordered,5,5,8.0,liver,M,normal,NORMAL,GSM1463712: RRBS_53_Mouse_Liver_M_8w_NORMAL; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_010,GSE60012 synthetic Liver_M_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_010_Liver_M_8w_NORMAL | source_column: Liver_M_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_010_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,NORMAL,normal,Liver,NORMAL,liver|M|8w|normal,GSE60012_tile_010,GSE60012_tile_010_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,liver|M|8w|normal,GSM1463713,SRR1534561,SRX668042,SRS672530,SAMN02950326,54,54,True,mapped,exact_group_count_ordered,5,5,8.0,liver,M,normal,NORMAL,GSM1463713: RRBS_54_Mouse_Liver_M_8w_NORMAL; Mus musculus; Bisulfite-Seq,mapped
GSE60012_tile_011,GSE60012 synthetic Liver_M_8w_NORMAL,56.0,8.0,8.0,weeks,weeks,matrix_header_synthetic,,liver,C57/bl,M,control,GSE60012,RRBS_tile_matrix,False,ok_header_synthetic_non_gsm,Liver,matrix_sample_id: GSE60012_tile_011_Liver_M_8w_NORMAL | source_column: Liver_M_8w_NORMAL | condition_detail: NORMAL,matrix_header_synthetic,matrix_header_synthetic_non_gsm,GSE60012_tile_011_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,NORMAL,normal,Liver,NORMAL,liver|M|8w|normal,GSE60012_tile_011,GSE60012_tile_011_Liver_M_8w_NORMAL,Liver_M_8w_NORMAL,liver|M|8w|normal,GSM1463714,SRR1534562,SRX668043,SRS672532,SAMN02950327,55,55,True,mapped,exact_group_count_ordered,5,5,8.0,liver,M,normal,NORMAL,GSM1463714: RRBS_55_Mouse_Liver_M_8w_NORMAL; Mus musculus; Bisulfite-Seq,mapped
