gsm_sample_id,run_accession,experiment_accession,sample_accession,biosample,replicate_token,replicate_order,raw_tissue,sex,age_weeks,condition_detail,experiment_title,library_layout,local_fastq_complete,match_key
GSM1463666,SRR1534514,SRX667995,SRS672484,SAMN02950337,12,12,Liver,F,1.0,NORMAL,GSM1463666: RRBS_12_Mouse_Liver_F_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|1w|normal
GSM1463667,SRR1534515,SRX667996,SRS672485,SAMN02950338,15,15,Liver,F,1.0,NORMAL,GSM1463667: RRBS_15_Mouse_Liver_F_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|1w|normal
GSM1463668,SRR1534516,SRX667997,SRS672487,SAMN02950339,16,16,Liver,F,1.0,NORMAL,GSM1463668: RRBS_16_Mouse_Liver_F_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|1w|normal
GSM1463669,SRR1534517,SRX667998,SRS672486,SAMN02950340,17,17,Liver,F,1.0,NORMAL,GSM1463669: RRBS_17_Mouse_Liver_F_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|1w|normal
GSM1463670,SRR1534518,SRX667999,SRS672488,SAMN02950341,18,18,Liver,F,1.0,NORMAL,GSM1463670: RRBS_18_Mouse_Liver_F_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|1w|normal
GSM1463671,SRR1534519,SRX668000,SRS672490,SAMN02950342,22,22,Liver,F,20.0,NORMAL,GSM1463671: RRBS_22_Mouse_Liver_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|20w|normal
GSM1463672,SRR1534520,SRX668001,SRS672489,SAMN02950343,25,25,Liver,F,20.0,NORMAL,GSM1463672: RRBS_25_Mouse_Liver_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|20w|normal
GSM1463673,SRR1534521,SRX668002,SRS672491,SAMN02950344,27,27,Liver,F,20.0,NORMAL,GSM1463673: RRBS_27_Mouse_Liver_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|20w|normal
GSM1463674,SRR1534522,SRX668003,SRS672492,SAMN02950345,30,30,Liver,F,20.0,NORMAL,GSM1463674: RRBS_30_Mouse_Liver_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|20w|normal
GSM1463675,SRR1534523,SRX668004,SRS672493,SAMN02950346,32,32,Liver,F,20.0,NORMAL,GSM1463675: RRBS_32_Mouse_Liver_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|20w|normal
GSM1463676,SRR1534524,SRX668005,SRS672495,SAMN02950347,33,33,Liver,F,20.0,NORMAL,GSM1463676: RRBS_33_Mouse_Liver_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|20w|normal
GSM1463677,SRR1534525,SRX668006,SRS672494,SAMN02950348,36,36,Liver,F,20.0,NORMAL,GSM1463677: RRBS_36_Mouse_Liver_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|20w|normal
GSM1463678,SRR1534526,SRX668007,SRS672496,SAMN02950349,37,37,Liver,F,20.0,NORMAL,GSM1463678: RRBS_37_Mouse_Liver_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|20w|normal
GSM1463679,SRR1534527,SRX668008,SRS672498,SAMN02950350,39,39,Liver,F,20.0,NORMAL,GSM1463679: RRBS_39_Mouse_Liver_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|20w|normal
GSM1463680,SRR1534528,SRX668009,SRS672497,SAMN02950351,41,41,Liver,F,20.0,NORMAL,GSM1463680: RRBS_41_Mouse_Liver_F_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|20w|normal
GSM1463681,SRR1534529,SRX668010,SRS672499,SAMN02950352,43,43,Liver,F,3.0,NORMAL,GSM1463681: RRBS_43_Mouse_Liver_F_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|3w|normal
GSM1463682,SRR1534530,SRX668011,SRS672500,SAMN02950353,44,44,Liver,F,3.0,NORMAL,GSM1463682: RRBS_44_Mouse_Liver_F_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|3w|normal
GSM1463683,SRR1534531,SRX668012,SRS672501,SAMN02950354,45,45,Liver,F,3.0,NORMAL,GSM1463683: RRBS_45_Mouse_Liver_F_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|3w|normal
GSM1463684,SRR1534532,SRX668013,SRS672503,SAMN02950355,46,46,Liver,F,3.0,NORMAL,GSM1463684: RRBS_46_Mouse_Liver_F_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|3w|normal
GSM1463685,SRR1534533,SRX668014,SRS672502,SAMN02950356,56,56,Liver,F,8.0,NORMAL,GSM1463685: RRBS_56_Mouse_Liver_F_8w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|8w|normal
GSM1463686,SRR1534534,SRX668015,SRS672504,SAMN02950357,57,57,Liver,F,8.0,NORMAL,GSM1463686: RRBS_57_Mouse_Liver_F_8w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|8w|normal
GSM1463687,SRR1534535,SRX668016,SRS672505,SAMN02950358,58,58,Liver,F,8.0,NORMAL,GSM1463687: RRBS_58_Mouse_Liver_F_8w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|8w|normal
GSM1463688,SRR1534536,SRX668017,SRS672506,SAMN02950359,59,59,Liver,F,8.0,NORMAL,GSM1463688: RRBS_59_Mouse_Liver_F_8w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|8w|normal
GSM1463689,SRR1534537,SRX668018,SRS672508,SAMN02950360,60,60,Liver,F,8.0,NORMAL,GSM1463689: RRBS_60_Mouse_Liver_F_8w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|8w|normal
GSM1463690,SRR1534538,SRX668019,SRS672507,SAMN02950361,13,13,Liver,M,1.0,NORMAL,GSM1463690: RRBS_13_Mouse_Liver_M_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|1w|normal
GSM1463691,SRR1534539,SRX668020,SRS672509,SAMN02950362,14,14,Liver,M,1.0,NORMAL,GSM1463691: RRBS_14_Mouse_Liver_M_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|1w|normal
GSM1463692,SRR1534540,SRX668021,SRS672511,SAMN02950305,19,19,Liver,M,1.0,NORMAL,GSM1463692: RRBS_19_Mouse_Liver_M_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|1w|normal
GSM1463693,SRR1534541,SRX668022,SRS672512,SAMN02950306,20,20,Liver,M,1.0,NORMAL,GSM1463693: RRBS_20_Mouse_Liver_M_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|1w|normal
GSM1463694,SRR1534542,SRX668023,SRS672510,SAMN02950307,21,21,Liver,M,1.0,NORMAL,GSM1463694: RRBS_21_Mouse_Liver_M_1w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|1w|normal
GSM1463695,SRR1534543,SRX668024,SRS672514,SAMN02950308,23,23,Liver,M,20.0,NORMAL,GSM1463695: RRBS_23_Mouse_Liver_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|20w|normal
GSM1463696,SRR1534544,SRX668025,SRS672513,SAMN02950309,24,24,Liver,M,20.0,NORMAL,GSM1463696: RRBS_24_Mouse_Liver_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|20w|normal
GSM1463697,SRR1534545,SRX668026,SRS672515,SAMN02950310,26,26,Liver,M,20.0,NORMAL,GSM1463697: RRBS_26_Mouse_Liver_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|20w|normal
GSM1463698,SRR1534546,SRX668027,SRS672516,SAMN02950311,28,28,Liver,M,20.0,NORMAL,GSM1463698: RRBS_28_Mouse_Liver_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|20w|normal
GSM1463699,SRR1534547,SRX668028,SRS672517,SAMN02950312,29,29,Liver,M,20.0,NORMAL,GSM1463699: RRBS_29_Mouse_Liver_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|20w|normal
GSM1463700,SRR1534548,SRX668029,SRS672519,SAMN02950313,31,31,Liver,M,20.0,NORMAL,GSM1463700: RRBS_31_Mouse_Liver_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|20w|normal
GSM1463701,SRR1534549,SRX668030,SRS672518,SAMN02950314,34,34,Liver,M,20.0,NORMAL,GSM1463701: RRBS_34_Mouse_Liver_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|20w|normal
GSM1463702,SRR1534550,SRX668031,SRS672520,SAMN02950315,35,35,Liver,M,20.0,NORMAL,GSM1463702: RRBS_35_Mouse_Liver_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|20w|normal
GSM1463703,SRR1534551,SRX668032,SRS672521,SAMN02950316,38,38,Liver,M,20.0,NORMAL,GSM1463703: RRBS_38_Mouse_Liver_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|20w|normal
GSM1463704,SRR1534552,SRX668033,SRS672522,SAMN02950317,40,40,Liver,M,20.0,NORMAL,GSM1463704: RRBS_40_Mouse_Liver_M_20w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|20w|normal
GSM1463705,SRR1534553,SRX668034,SRS672523,SAMN02950318,42,42,Liver,M,3.0,NORMAL,GSM1463705: RRBS_42_Mouse_Liver_M_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|3w|normal
GSM1463706,SRR1534554,SRX668035,SRS672524,SAMN02950319,47,47,Liver,M,3.0,NORMAL,GSM1463706: RRBS_47_Mouse_Liver_M_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|3w|normal
GSM1463707,SRR1534555,SRX668036,SRS672525,SAMN02950320,48,48,Liver,M,3.0,NORMAL,GSM1463707: RRBS_48_Mouse_Liver_M_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|3w|normal
GSM1463708,SRR1534556,SRX668037,SRS672526,SAMN02950321,49,49,Liver,M,3.0,NORMAL,GSM1463708: RRBS_49_Mouse_Liver_M_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|3w|normal
GSM1463709,SRR1534557,SRX668038,SRS672527,SAMN02950322,50,50,Liver,M,3.0,NORMAL,GSM1463709: RRBS_50_Mouse_Liver_M_3w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|3w|normal
GSM1463710,SRR1534558,SRX668039,SRS672528,SAMN02950323,51,51,Liver,M,8.0,NORMAL,GSM1463710: RRBS_51_Mouse_Liver_M_8w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|8w|normal
GSM1463711,SRR1534559,SRX668040,SRS672529,SAMN02950324,52,52,Liver,M,8.0,NORMAL,GSM1463711: RRBS_52_Mouse_Liver_M_8w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|8w|normal
GSM1463712,SRR1534560,SRX668041,SRS672531,SAMN02950325,53,53,Liver,M,8.0,NORMAL,GSM1463712: RRBS_53_Mouse_Liver_M_8w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|8w|normal
GSM1463713,SRR1534561,SRX668042,SRS672530,SAMN02950326,54,54,Liver,M,8.0,NORMAL,GSM1463713: RRBS_54_Mouse_Liver_M_8w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|8w|normal
GSM1463714,SRR1534562,SRX668043,SRS672532,SAMN02950327,55,55,Liver,M,8.0,NORMAL,GSM1463714: RRBS_55_Mouse_Liver_M_8w_NORMAL; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|M|8w|normal
GSM1463715,SRR1534563,SRX668044,SRS672533,SAMN02950328,1,1,Liver,F,20.0,castration,GSM1463715: RRBS_1_Mouse_Liver_F_20w_castration; Mus musculus; Bisulfite-Seq,PAIRED,True,liver|F|20w|castration
