dataset,run_accession,gsm,sample_accession,experiment_accession,experiment_title,library_strategy,library_source,library_selection,library_layout,local_fastq_count,local_fastq_complete,expected_fastq,latest_log_status,latest_log_failure_count,latest_log_error_class,recommended_repair_action,run_total_bases,run_total_spots,ena_error,ena_library_layout,fastq_urls,fastq_md5s,fastq_bytes,ena_n_fastq,current_local_fastq_complete,current_local_fastq_count,current_local_fastq_paths,target_fastq_dir,dataset_rank,repair_error_rank,download_strategy,download_allowed,blocked_reason,repair_priority
GSE80672,SRR3440672,GSM2132796,SRS1412306,SRX1727084,GSM2132796: GX2472; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,Reduced Representation,PAIRED,0,False,paired _1/_2 FASTQ,failed,8.0,orphan_lock_retry,"after confirming no active prefetch/fasterq process for this run, remove orphan .sra.lock in SSD cache and rerun prefetch/fasterq; if repeated, ENA FASTQ fallback",4603480950,30689873,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/002/SRR3440672/SRR3440672_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/002/SRR3440672/SRR3440672_2.fastq.gz,dd951d2e58c94153618e4f5961cea172;1ea81e238e6ecc84ef8733287c196d8e,1221755479;1422644540,2,False,0,,/data/mouse_methyl/raw/GSE80672/fastq,0,0,ena_direct_first_then_sra_if_needed,True,,1
GSE80672,SRR3440671,GSM2132795,SRS1412305,SRX1727083,GSM2132795: GX2471; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,Reduced Representation,PAIRED,0,False,paired _1/_2 FASTQ,failed,8.0,fasterq_timeout_retry_or_ena,"retry with lower fasterq threads/longer timeout and vdb-validate prefetched SRA; if repeated, use ENA direct FASTQ with md5",4451232750,29674885,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/001/SRR3440671/SRR3440671_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/001/SRR3440671/SRR3440671_2.fastq.gz,6db8b39c7eeb49f2b098c67ca0c4d4e9;e01fd7a31b5f51105cd6d67711b72212,1201637488;1412489028,2,False,0,,/data/mouse_methyl/raw/GSE80672/fastq,0,0,ena_direct_first_then_sra_if_needed,True,,2
GSE121141,SRR8032931,GSM3426756,SRS3924516,SRX4865608,GSM3426756: Br0608; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,failed,8.0,fasterq_timeout_retry_or_ena,"retry with lower fasterq threads/longer timeout and vdb-validate prefetched SRA; if repeated, use ENA direct FASTQ with md5",21970502400,73235008,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/001/SRR8032931/SRR8032931_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/001/SRR8032931/SRR8032931_2.fastq.gz,370660d4ebb8890bebd79df9cf4ab59a;7b33cf3532cc1e5e7a90d5411b6d1f49,4974371799;5624761955,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,0,ena_direct_first_then_sra_if_needed,True,,3
GSE121141,SRR8032940,GSM3426761,SRS3924361,SRX4865532,GSM3426761: Br1207; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,failed,8.0,orphan_lock_retry,"after confirming no active prefetch/fasterq process for this run, remove orphan .sra.lock in SSD cache and rerun prefetch/fasterq; if repeated, ENA FASTQ fallback",6326112000,21087040,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/000/SRR8032940/SRR8032940_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/000/SRR8032940/SRR8032940_2.fastq.gz,10e2be7420305b21430c5b08b89719f2;44983af30b9420d86abf701a9d31cac9,1439312453;1565421019,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,0,ena_direct_first_then_sra_if_needed,True,,4
GSE80672,SRR3440723,GSM2132833,SRS1412344,SRX1727121,GSM2132833: M0405; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,Reduced Representation,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,5740859400,38272396,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/003/SRR3440723/SRR3440723_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/003/SRR3440723/SRR3440723_2.fastq.gz,8bef954dbc2ad6177929298502081717;adec16c1b2fb7df0211dc288a7abca29,1461612311;1656735530,2,False,0,,/data/mouse_methyl/raw/GSE80672/fastq,0,1,ena_direct_first_then_sra_if_needed,True,,5
GSE80672,SRR3440892,GSM2132937,SRS1412447,SRX1727225,GSM2132937: M3009; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,Reduced Representation,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,5592636150,37284241,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/002/SRR3440892/SRR3440892_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/002/SRR3440892/SRR3440892_2.fastq.gz,c8697c8d4fb0fcc34b00e44cb34dbc68;a74a1ad24ce59ac2cb75d1ec21d45dde,1598595742;1852569928,2,False,0,,/data/mouse_methyl/raw/GSE80672/fastq,0,1,ena_direct_first_then_sra_if_needed,True,,6
GSE80672,SRR3440885,GSM2132933,SRS1412443,SRX1727221,GSM2132933: M3004; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,Reduced Representation,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,5271303300,35142022,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/005/SRR3440885/SRR3440885_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/005/SRR3440885/SRR3440885_2.fastq.gz,07dd93e23b33b0d4f13a6ad8bd80f31d;72c160f9972827bb2d0392ebf5ed1574,1602089925;1780275377,2,False,0,,/data/mouse_methyl/raw/GSE80672/fastq,0,1,ena_direct_first_then_sra_if_needed,True,,7
GSE80672,SRR3440811,GSM2132891,SRS1412405,SRX1727179,GSM2132891: M2009; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,Reduced Representation,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,4997889300,33319262,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/001/SRR3440811/SRR3440811_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/001/SRR3440811/SRR3440811_2.fastq.gz,be7bef6712b7e9f5fedd543ee0321abf;311b9713105eb1b0ddd14d406a1caa9e,1384022086;1642868380,2,False,0,,/data/mouse_methyl/raw/GSE80672/fastq,0,1,ena_direct_first_then_sra_if_needed,True,,8
GSE80672,SRR3440897,GSM2132940,SRS1412449,SRX1727228,GSM2132940: M3205; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,Reduced Representation,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,4977341550,33182277,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/007/SRR3440897/SRR3440897_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/007/SRR3440897/SRR3440897_2.fastq.gz,fd9e5fe34a7fee9884696b06a9f9e356;3e47deb0b3299414dc1f601ef75cf1dc,1381548922;1677583939,2,False,0,,/data/mouse_methyl/raw/GSE80672/fastq,0,1,ena_direct_first_then_sra_if_needed,True,,9
GSE80672,SRR3440679,GSM2132802,SRS1412312,SRX1727090,GSM2132802: GX2518; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,Reduced Representation,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,4781586600,31877244,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/009/SRR3440679/SRR3440679_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR344/009/SRR3440679/SRR3440679_2.fastq.gz,b34475f21e4f205ebd5183731d674eb9;4a4251d716ed8a1e933e6fd4ad7cf687,1255277414;1509825246,2,False,0,,/data/mouse_methyl/raw/GSE80672/fastq,0,1,ena_direct_first_then_sra_if_needed,True,,10
