feature_id,feature_index
chr2:163200000-163204999,34775
chr9:44765000-44769999,64143
chr13:48660000-48664999,12576
chr13:83725000-83729999,13640
chr1:57775000-57779999,32002
chr1:5015000-5019999,31874
chr5:135085000-135089999,48179
chr1:84695000-84699999,32606
chr9:67630000-67634999,65097
chr4:32655000-32659999,44730
chr17:83630000-83634999,24291
chr12:11145000-11149999,8956
chr8:106870000-106874999,58646
chr11:98435000-98439999,8251
chr11:96195000-96199999,8025
chr9:117250000-117254999,62913
chr13:92840000-92844999,13748
chr2:73270000-73274999,37589
chr2:22620000-22624999,36000
chr15:39655000-39659999,17294
chr8:48555000-48559999,60994
chr9:44405000-44409999,64113
chr3:87515000-87519999,40829
chr5:53585000-53589999,50090
chr9:55540000-55544999,64527
chr11:62550000-62554999,6475
chr10:29535000-29539999,1216
chr13:30335000-30339999,11976
chr1:79440000-79444999,32532
chr2:71525000-71529999,37507
chr11:106785000-106789999,4071
chr13:71455000-71459999,13429
chr14:64585000-64589999,15835
chr5:33430000-33434999,49602
chr1:194615000-194619999,31230
chr13:48225000-48229999,12553
chr19:30545000-30549999,27333
chr7:139940000-139944999,55629
chr10:42275000-42279999,1464
chr7:43485000-43489999,56954
chr12:102740000-102744999,8463
chr2:148045000-148049999,34156
chr17:56830000-56834999,23560
chr14:99045000-99049999,16463
chr12:102555000-102559999,8444
chr13:22020000-22024999,11812
chr8:88520000-88524999,61919
chr7:82335000-82339999,58135
chr2:19450000-19454999,35951
chr11:9045000-9049999,7808
chr14:12345000-12349999,14455
chr1:4570000-4574999,31826
chr6:82400000-82404999,53686
chr11:65265000-65269999,6570
chr5:67220000-67224999,50348
chr9:83545000-83549999,65494
chr15:11905000-11909999,16800
chr9:89620000-89624999,65597
chr18:53460000-53464999,25628
chr16:72025000-72029999,20916
chr16:94995000-94999999,21545
chr10:90825000-90829999,3347
chr4:117120000-117124999,41870
chr2:178410000-178414999,35719
chr2:116075000-116079999,33385
chr7:70350000-70354999,57773
chr5:36485000-36489999,49767
chr12:86420000-86424999,10863
chr9:108505000-108509999,62601
chr11:8620000-8624999,7635
chr7:24610000-24614999,56214
chr10:70520000-70524999,2336
chr13:55095000-55099999,12914
chr15:76875000-76879999,18089
chr5:112395000-112399999,46679
chr11:101170000-101174999,3697
chr4:80910000-80914999,45842
chr17:90455000-90459999,24622
chr5:96370000-96374999,50914
chr12:105335000-105339999,8572
chr3:82900000-82904999,40701
chr2:19440000-19444999,35949
chr9:58485000-58489999,64684
chr15:37230000-37234999,17222
chr3:93010000-93014999,41112
chr6:25690000-25694999,52447
chr13:117600000-117604999,11605
chr15:76520000-76524999,18051
chr17:79710000-79714999,24166
chr16:28930000-28934999,19984
chr3:90080000-90084999,41031
chr2:137115000-137119999,33951
chr3:17790000-17794999,39617
chr4:109980000-109984999,41728
chr14:100285000-100289999,14032
chr12:118855000-118859999,9181
chr19:25235000-25239999,27168
chr17:85615000-85619999,24406
chr5:129785000-129789999,47981
chr11:96120000-96124999,8016
chr3:122725000-122729999,38785
chr6:126160000-126164999,51770
chr13:101765000-101769999,11223
chr5:22340000-22344999,49273
chr10:67285000-67289999,2167
chr7:114745000-114749999,54684
chr18:38210000-38214999,25311
chr18:43205000-43209999,25431
chr14:5000000-5004999,15329
chr4:115935000-115939999,41821
chr11:114565000-114569999,4401
chr6:121470000-121474999,51569
chr19:43605000-43609999,27785
chr8:89570000-89574999,61953
chr9:67040000-67044999,65076
chr11:103115000-103119999,3860
chr18:80465000-80469999,26585
chr18:11050000-11054999,24700
chr11:120660000-120664999,5035
chr4:41725000-41729999,44943
chr11:105290000-105294999,3983
chr6:30955000-30959999,52600
chr19:6395000-6399999,28712
chr16:28925000-28929999,19983
chr10:26075000-26079999,1180
chr5:125390000-125394999,47789
chr6:37300000-37304999,52773
chr5:117840000-117844999,47178
chr7:137320000-137324999,55542
chr14:45530000-45534999,15215
chr11:89295000-89299999,7777
chr13:118715000-118719999,11620
chr6:83065000-83069999,53711
chr18:15150000-15154999,24795
chr5:112575000-112579999,46696
chr11:84640000-84644999,7553
chr7:141220000-141224999,55710
chr14:5960000-5964999,15644
chr11:111065000-111069999,4233
chr18:61210000-61214999,25850
chr7:63210000-63214999,57517
chr9:30920000-30924999,63683
chr5:19225000-19229999,49212
chr9:102350000-102354999,62289
chr4:119320000-119324999,42032
chr19:4395000-4399999,27810
chr2:158615000-158619999,34648
chr5:66675000-66679999,50324
chr11:33680000-33684999,5432
chr2:105680000-105684999,33236
chr4:12905000-12909999,42537
chr9:31910000-31914999,63724
chr4:108380000-108384999,41691
chr3:102200000-102204999,38282
chr7:79050000-79054999,57927
chr1:190165000-190169999,31074
chr2:65235000-65239999,37359
chr3:107330000-107334999,38443
chr13:56250000-56254999,13017
chr1:51915000-51919999,31901
chr4:109970000-109974999,41726
chr3:13470000-13474999,39070
chr14:54575000-54579999,15433
chr13:105440000-105444999,11318
chr4:44390000-44394999,45040
chr2:18695000-18699999,35931
chr2:134785000-134789999,33905
chr8:54075000-54079999,61048
chr14:63940000-63944999,15812
chr3:56180000-56184999,40329
chr11:12460000-12464999,5097
chr2:63700000-63704999,37330
chr1:78215000-78219999,32507
chr7:49635000-49639999,57353
chr4:62515000-62519999,45593
chr4:135395000-135399999,43056
chr6:114040000-114044999,51269
chr12:117155000-117159999,9142
chr1:136945000-136949999,29745
chr5:118170000-118174999,47203
chr5:150950000-150954999,49162
chr19:44755000-44759999,27866
chr2:19430000-19434999,35948
chr3:90465000-90469999,41057
chr17:52600000-52604999,23412
chr13:36575000-36579999,12121
chr14:70625000-70629999,16074
chr12:73040000-73044999,10272
chr3:141465000-141469999,39196
chr19:44690000-44694999,27856
chr6:30170000-30174999,52557
chr12:91400000-91404999,10999
chr3:57575000-57579999,40348
chr3:55240000-55244999,40309
chr7:68745000-68749999,57747
chr8:47285000-47289999,60918
chr13:83710000-83714999,13638
chr10:50890000-50894999,1654
chr15:76510000-76514999,18049
chr3:66975000-66979999,40486
chr12:81860000-81864999,10597
chr13:21165000-21169999,11780
chr6:128800000-128804999,51899
chr7:45715000-45719999,57161
chr10:37140000-37144999,1303
chr7:49975000-49979999,57372
chr19:44680000-44684999,27854
chr15:103005000-103009999,16731
chr1:111860000-111864999,28993
chr12:75175000-75179999,10333
chr7:98360000-98364999,58341
chr11:96270000-96274999,8034
chr2:119325000-119329999,33488
chr2:172935000-172939999,35565
chr7:49905000-49909999,57365
chr1:174500000-174504999,30547
chr6:22875000-22879999,52406
chr15:74515000-74519999,17905
chr11:72265000-72269999,6961
chr9:49795000-49799999,64369
chr9:63145000-63149999,64898
chr12:84875000-84879999,10763
chr9:24770000-24774999,63581
chr13:99515000-99519999,14015
chr7:49915000-49919999,57367
chr11:120085000-120089999,4965
chr18:65935000-65939999,26053
chr17:85685000-85689999,24413
chr6:18030000-18034999,52348
chr11:62600000-62604999,6479
chr19:46325000-46329999,27994
chr1:120340000-120344999,29155
chr5:28175000-28179999,49412
chr11:115625000-115629999,4504
chr2:74665000-74669999,37639
chr14:3205000-3209999,14971
chr6:115360000-115364999,51320
chr12:84695000-84699999,10746
chr4:99570000-99574999,46170
chr7:127475000-127479999,55112
chr8:64690000-64694999,61176
chr3:73055000-73059999,40583
chr2:132380000-132384999,33866
chr1:19235000-19239999,31184
chr11:89300000-89304999,7778
chr5:141240000-141244999,48603
chr3:90245000-90249999,41043
chr10:44525000-44529999,1565
chr2:168765000-168769999,35289
chr8:69885000-69889999,61263
chr15:73065000-73069999,17816
chr6:3760000-3764999,52782
chr13:94055000-94059999,13778
chr6:42320000-42324999,52902
chr3:34645000-34649999,39917
chr12:80690000-80694999,10543
chr1:157445000-157449999,30122
chr11:97570000-97574999,8161
chr4:135570000-135574999,43074
chr19:47050000-47054999,28046
chr5:5745000-5749999,50144
chr6:137165000-137169999,52044
chr11:95005000-95009999,7918
chr3:18055000-18059999,39621
chr13:75940000-75944999,13543
chr1:150095000-150099999,29881
chr1:56970000-56974999,31990
chr5:142820000-142824999,48691
chr19:48205000-48209999,28147
chr4:123180000-123184999,42163
chr16:10785000-10789999,19507
chr7:105425000-105429999,54437
chr8:12395000-12399999,59842
chr15:32920000-32924999,17137
chr8:80880000-80884999,61629
chr19:55740000-55744999,28389
chr5:28115000-28119999,49407
chr3:7500000-7504999,40599
chr5:30585000-30589999,49475
chr17:40880000-40884999,22907
chr15:75565000-75569999,17946
chr4:114405000-114409999,41770
chr2:35280000-35284999,36815
chr19:53675000-53679999,28294
chr18:51115000-51119999,25581
chr1:91295000-91299999,32875
chr13:23305000-23309999,11833
chr15:7810000-7814999,18156
chr9:46440000-46444999,64252
chr17:37045000-37049999,22870
chr9:79715000-79719999,65425
chr2:118700000-118704999,33445
chr13:116310000-116314999,11585
chr7:127585000-127589999,55119
chr12:116485000-116489999,9133
chr2:151005000-151009999,34215
chr16:94085000-94089999,21491
chr7:113765000-113769999,54663
chr13:105050000-105054999,11313
chr19:44750000-44754999,27865
chr11:83850000-83854999,7521
chr12:33955000-33959999,9606
chr8:12500000-12504999,59903
chr3:89280000-89284999,40963
chr17:84510000-84514999,24345
chr11:96200000-96204999,8026
chr13:116305000-116309999,11584
chr4:82500000-82504999,45865
chr2:29250000-29254999,36351
chr10:32890000-32894999,1250
chr5:75075000-75079999,50513
chr2:105665000-105669999,33233
chr18:42395000-42399999,25415
chr5:139550000-139554999,48480
chr19:16870000-16874999,27015
chr13:107645000-107649999,11352
chr13:51590000-51594999,12688
chr5:118025000-118029999,47195
chr9:6165000-6169999,64823
chr13:3355000-3359999,12045
chr4:33920000-33924999,44781
chr10:103365000-103369999,27
chr17:56240000-56244999,23497
chr2:170495000-170499999,35423
chr11:57825000-57829999,6208
chr4:44700000-44704999,45064
chr8:127065000-127069999,60014
chr5:112655000-112659999,46701
chr4:142080000-142084999,43650
chr1:90200000-90204999,32828
chr1:138845000-138849999,29770
chr8:78425000-78429999,61547
chr14:122450000-122454999,14431
chr3:109780000-109784999,38569
chr18:10325000-10329999,24687
chr3:107455000-107459999,38447
chr1:12690000-12694999,29242
chr17:62880000-62884999,23682
chr4:62205000-62209999,45581
chr14:27620000-27624999,14836
chr17:75005000-75009999,24079
chr2:22225000-22229999,35996
chr8:68880000-68884999,61240
chr4:21685000-21689999,44588
chr19:30170000-30174999,27327
chr1:64530000-64534999,32164
chr2:71540000-71544999,37510
chr9:68650000-68654999,65119
chr8:78430000-78434999,61548
chr9:23220000-23224999,63559
chr16:16210000-16214999,19642
chr2:105675000-105679999,33235
chr1:20475000-20479999,31253
chr14:55680000-55684999,15507
chr6:97615000-97619999,54229
chr15:8710000-8714999,18836
chr18:80985000-80989999,26618
