chrom,start,end,cluster_5mb,target_id,model_name,feature_id,selection_count,mean_abs_selector_score,mean_selector_score,mean_feature_rank,mean_train_presence,age_pearson_r,age_pearson_p,missing_fraction,dataset_mean_shift,tissue_mean_shift,confounding_label,interpretation_note
chr6,77975000,77979999,chr6:75000000-79999999,age_weeks,ridge,chr6:77975000-77979999,5,0.5272987670524966,0.5272987670524966,12.2,0.9973675836845086,0.534849,6.336689325107945e-91,0.002461,0.075869,0.080095,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,96005000,96009999,chr11:95000000-99999999,age_weeks,ridge,chr11:96005000-96009999,5,0.5261828508293338,0.5261828508293338,9.0,1.0,0.527677,2.4755233419599137e-88,0.0,0.036311,0.045686,candidate_signal,target-associated methylation signal; mechanism not inferred
chr1,3670000,3674999,chr1:0-4999999,age_weeks,ridge,chr1:3670000-3674999,5,0.5068484079376796,0.5068484079376796,42.4,0.9991207086271426,0.518636,8.155008376525876e-85,0.00082,0.063972,0.07825,candidate_signal,target-associated methylation signal; mechanism not inferred
chr5,131305000,131309999,chr5:130000000-134999999,age_weeks,ridge,chr5:131305000-131309999,5,0.5031971404287958,0.5031971404287958,22.0,0.9991207086271426,0.507875,7.596344482629917e-81,0.00082,0.078037,0.107406,candidate_signal,target-associated methylation signal; mechanism not inferred
chr17,69435000,69439999,chr17:65000000-69999999,age_weeks,ridge,chr17:69435000-69439999,5,0.5029925695843931,0.5029925695843931,23.4,0.9982468750573659,0.50526,7.727067788857639e-80,0.001641,0.025897,0.039448,candidate_signal,target-associated methylation signal; mechanism not inferred
chr12,61520000,61524999,chr12:60000000-64999999,age_weeks,ridge,chr12:61520000-61524999,5,0.5016849456171073,0.5016849456171073,20.2,0.9982468750573659,0.505065,9.078397512078422e-80,0.001641,0.074301,0.129401,candidate_signal,target-associated methylation signal; mechanism not inferred
chr12,14150000,14154999,chr12:10000000-14999999,age_weeks,ridge,chr12:14150000-14154999,5,0.4964932362384812,0.4964932362384812,71.0,1.0,0.506844,1.5447475836159011e-80,0.0,0.092727,0.107097,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,33200000,33204999,chr11:30000000-34999999,age_weeks,ridge,chr11:33200000-33204999,5,0.49179535961086485,0.49179535961086485,28.2,1.0,0.488059,5.877012940544696e-74,0.0,0.062952,0.102869,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,99655000,99659999,chr4:95000000-99999999,age_weeks,ridge,chr4:99655000-99659999,5,0.4878900412926278,0.48789004129262786,30.8,1.0,0.48004,2.8555123433204766e-71,0.0,0.118145,0.197814,candidate_signal,target-associated methylation signal; mechanism not inferred
chr12,20195000,20199999,chr12:20000000-24999999,age_weeks,ridge,chr12:20195000-20199999,5,0.4876878783902292,0.4876878783902291,48.4,0.9982414172542852,0.489653,2.21809995776549e-74,0.001641,0.191233,0.301967,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr15,95525000,95529999,chr15:95000000-99999999,age_weeks,ridge,chr15:95525000-95529999,5,0.4874010949692872,0.4874010949692872,36.4,0.9991261664302235,0.494081,5.822981425483026e-76,0.00082,0.056663,0.099477,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,147080000,147084999,chr2:145000000-149999999,age_weeks,ridge,chr2:147080000-147084999,5,0.48680041771181093,0.48680041771181093,51.4,1.0,0.487704,7.755111844014594e-74,0.0,0.076722,0.133422,candidate_signal,target-associated methylation signal; mechanism not inferred
chr5,81020000,81024999,chr5:80000000-84999999,age_weeks,ridge,chr5:81020000-81024999,5,0.4867606783906814,0.48676067839068127,33.2,0.9991261664302235,0.490895,7.275920732799376e-75,0.00082,0.069168,0.122354,candidate_signal,target-associated methylation signal; mechanism not inferred
chr17,68000000,68004999,chr17:65000000-69999999,age_weeks,ridge,chr17:68000000-68004999,5,0.4858994595966215,0.4858994595966214,49.2,0.9991207086271426,0.494226,5.190205566603865e-76,0.00082,0.057193,0.080048,candidate_signal,target-associated methylation signal; mechanism not inferred
chr5,120460000,120464999,chr5:120000000-124999999,age_weeks,ridge,chr5:120460000-120464999,5,0.4858178276480663,0.4858178276480663,65.0,0.9973675836845086,0.489844,2.1922143340371114e-74,0.002461,0.268452,0.47247,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr2,180640000,180644999,chr2:180000000-184999999,age_weeks,ridge,chr2:180640000-180644999,5,0.48574126636165643,0.4857412663616564,38.4,0.9964828345085704,0.488254,8.718794979708489e-74,0.003281,0.310404,0.614277,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr5,131535000,131539999,chr5:130000000-134999999,age_weeks,ridge,chr5:131535000-131539999,5,0.48529111748020065,0.48529111748020065,56.6,1.0,0.49104,5.653152794088264e-75,0.0,0.05183,0.063194,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,63180000,63184999,chr2:60000000-64999999,age_weeks,ridge,chr2:63180000-63184999,5,0.48518023254416087,0.48518023254416087,37.4,0.9973730414875893,0.490431,1.3820475441978894e-74,0.002461,0.098699,0.126878,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,25795000,25799999,chr4:25000000-29999999,age_weeks,ridge,chr4:25795000-25799999,5,0.4851788287482089,0.4851788287482089,55.0,0.9982523328604467,0.487725,1.0020249965692874e-73,0.001641,0.070555,0.145079,candidate_signal,target-associated methylation signal; mechanism not inferred
chr12,67220000,67224999,chr12:65000000-69999999,age_weeks,ridge,chr12:67220000-67224999,5,0.4845239544533781,0.4845239544533781,38.4,1.0,0.48883,3.2141829219316813e-74,0.0,0.065291,0.107907,candidate_signal,target-associated methylation signal; mechanism not inferred
chr7,70360000,70364999,chr7:70000000-74999999,age_weeks,ridge,chr7:70360000-70364999,5,0.4829217485919937,0.4829217485919937,61.4,1.0,0.492382,1.954509219265992e-75,0.0,0.061252,0.076421,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,21990000,21994999,chr11:20000000-24999999,age_weeks,ridge,chr11:21990000-21994999,5,0.47974583525894116,0.47974583525894116,56.6,0.9982523328604467,0.476002,7.830131615598726e-70,0.001641,0.072266,0.167404,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,74655000,74659999,chr2:70000000-74999999,age_weeks,ridge,chr2:74655000-74659999,5,0.4783646237444441,0.4783646237444442,52.8,1.0,0.464088,3.912783405984809e-66,0.0,0.11834,0.232507,candidate_signal,target-associated methylation signal; mechanism not inferred
chr4,36950000,36954999,chr4:35000000-39999999,age_weeks,ridge,chr4:36950000-36954999,5,0.4776762814753595,0.4776762814753595,47.2,0.9991261664302235,0.473065,6.171654453245829e-69,0.00082,0.090966,0.173398,candidate_signal,target-associated methylation signal; mechanism not inferred
