chrom,start,end,cluster_5mb,region_id,interpretation_rank,selected_by_ml,selected_by_dl,ml_rank,dl_rank,age_pearson_r,age_pearson_p,age_direction,dataset_support_count,tissue_support_count,n_datasets_evaluated,n_tissues_evaluated,missing_fraction,dataset_mean_shift,tissue_mean_shift,fold_stability_proxy,permutation_importance_proxy,ml_rank_importance_proxy,dl_gradient_importance_proxy,dl_occlusion_importance_proxy,confounding_label,interpretation_note
chr2,163200000,163204999,chr2:160000000-164999999,chr2:163200000-163204999,1,True,True,1.0,501,0.310951,9.768182897009248e-29,hypermethylating_with_age,5,10,6,13,0.0,0.047054,0.07751,0.867521,0.31095091,1.0,0.00062066,6.574e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr4,40945000,40949999,chr4:40000000-44999999,chr4:40945000-40949999,2,False,True,,1,0.230513,3.9570358137530883e-16,hypermethylating_with_age,1,9,6,13,0.002461,0.053765,0.052252,0.452991,0.22994599,0.0,0.23051329,0.02011428,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr11,52395000,52399999,chr11:50000000-54999999,chr11:52395000-52399999,3,False,True,,2,-0.207055,3.3391419949378964e-13,hypomethylating_with_age,0,4,6,13,0.005742,0.096048,0.05654,0.269231,0.20586601,0.0,0.1035275,0.02273617,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr9,44765000,44769999,chr9:40000000-44999999,chr9:44765000-44769999,4,True,True,2.0,502,-0.221385,5.3352532203723095e-15,hypomethylating_with_age,3,6,6,13,0.0,0.06412,0.093688,0.653846,0.22138455,0.5,0.00044101,6.189e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr13,48660000,48664999,chr13:45000000-49999999,chr13:48660000-48664999,5,True,True,3.0,503,0.324784,2.8767636896565623e-31,hypermethylating_with_age,5,11,6,13,0.002461,0.047309,0.070617,0.893162,0.323985,0.33333333,0.00064569,6.777e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr13,75090000,75094999,chr13:75000000-79999999,chr13:75090000-75094999,6,False,True,,3,0.207043,2.9963845175843274e-13,hypermethylating_with_age,2,9,6,13,0.001641,0.045527,0.076605,0.508547,0.20670324,0.0,0.06901431,0.01670154,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr13,83725000,83729999,chr13:80000000-84999999,chr13:83725000-83729999,7,True,True,4.0,504,0.218681,1.214377651100356e-14,hypermethylating_with_age,4,9,6,13,0.001641,0.072934,0.107383,0.786325,0.21832225,0.25,0.00043389,7.294e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr9,27155000,27159999,chr9:25000000-29999999,chr9:27155000-27159999,8,False,True,,4,0.281829,1.3339187441321715e-23,hypermethylating_with_age,4,9,6,13,0.004102,0.06985,0.161795,0.619658,0.28067335,0.0,0.07045733,0.01042107,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr17,5440000,5444999,chr17:5000000-9999999,chr17:5440000-5444999,9,False,True,,5,0.263943,7.89583540605525e-21,hypermethylating_with_age,1,7,6,13,0.002461,0.022582,0.018255,0.401709,0.26329357,0.0,0.05278863,0.00283445,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr1,57775000,57779999,chr1:55000000-59999999,chr1:57775000-57779999,10,True,True,5.0,505,0.357524,7.418581652266422e-38,hypermethylating_with_age,4,9,6,13,0.005742,0.033187,0.054258,0.786325,0.3554714,0.2,0.00070797,5.948e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr10,80925000,80929999,chr10:80000000-84999999,chr10:80925000-80929999,11,False,True,,6,-0.211952,7.565976303132269e-14,hypomethylating_with_age,0,4,6,13,0.0,0.041928,0.049134,0.269231,0.2119521,0.0,0.03532535,0.0027984,mixed_or_low_support,age-associated methylation signal; mechanism not inferred
chr1,5015000,5019999,chr1:5000000-9999999,chr1:5015000-5019999,12,True,True,6.0,506,0.329616,2.9431116612626085e-32,hypermethylating_with_age,5,12,6,13,0.00082,0.033763,0.07711,0.918803,0.32934567,0.16666667,0.00065142,3.978e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr1,9965000,9969999,chr1:5000000-9999999,chr1:9965000-9969999,13,False,True,,7,0.267016,2.4961509012005018e-21,hypermethylating_with_age,5,9,6,13,0.00082,0.049015,0.025424,0.675214,0.26679707,0.0,0.03814516,0.00421039,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr5,135085000,135089999,chr5:135000000-139999999,chr5:135085000-135089999,14,True,True,7.0,507,0.300222,9.511697282346072e-27,hypermethylating_with_age,3,10,6,13,0.002461,0.039039,0.067322,0.75641,0.29948331,0.14285714,0.00059215,5.838e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr1,84695000,84699999,chr1:80000000-84999999,chr1:84695000-84699999,15,True,True,8.0,508,0.318257,4.518180412716364e-30,hypermethylating_with_age,5,10,6,13,0.00082,0.068786,0.16423,0.867521,0.31799573,0.125,0.00062649,8.246e-05,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
chr7,46375000,46379999,chr7:45000000-49999999,chr7:46375000-46379999,16,False,True,,8,0.271107,6.037927415934094e-22,hypermethylating_with_age,3,7,6,13,0.001641,0.074037,0.147826,0.512821,0.27066235,0.0,0.03388839,0.00613959,cross_tissue_stable,age-associated methylation signal; mechanism not inferred
