chrom,start,end,cluster_5mb,target_id,model_name,feature_id,selection_count,mean_abs_selector_score,mean_selector_score,mean_feature_rank,mean_train_presence,age_pearson_r,age_pearson_p,missing_fraction,dataset_mean_shift,tissue_mean_shift,confounding_label,interpretation_note
chr18,6170000,6174999,chr18:5000000-9999999,age_weeks_raw_v24,ridge,chr18:6170000-6174999,2,0.8188992384550771,-0.16660139416606917,134.0,1.0,0.245615,0.190780607754604,0.0,0.035064,0.070748,candidate_signal,target-associated methylation signal; mechanism not inferred
chr7,30110000,30114999,chr7:30000000-34999999,age_weeks_raw_v24,ridge,chr7:30110000-30114999,2,0.8128215491127762,-0.10617175784078531,220.5,1.0,0.248038,0.18630243553275636,0.0,0.099991,0.166704,candidate_signal,target-associated methylation signal; mechanism not inferred
chr16,95450000,95454999,chr16:95000000-99999999,age_weeks_raw_v24,ridge,chr16:95450000-95454999,2,0.8081891625034396,-0.8081891625034396,209.0,1.0,-0.652382,9.35704824368454e-05,0.0,0.425026,0.437896,dataset_confounded,target-associated methylation signal; mechanism not inferred
chr1,132765000,132769999,chr1:130000000-134999999,age_weeks_raw_v24,ridge,chr1:132765000-132769999,2,0.8053775547642287,-0.8053775547642287,281.0,1.0,-0.748317,1.987341798102901e-06,0.0,0.132311,0.235724,candidate_signal,target-associated methylation signal; mechanism not inferred
chr2,29205000,29209999,chr2:25000000-29999999,age_weeks_raw_v24,ridge,chr2:29205000-29209999,2,0.79961640088479,-0.12796893385783703,224.5,1.0,0.618444,0.0002700163227778481,0.0,0.076922,0.086152,candidate_signal,target-associated methylation signal; mechanism not inferred
chr8,14095000,14099999,chr8:10000000-14999999,age_weeks_raw_v24,ridge,chr8:14095000-14099999,2,0.7942887673699563,0.7942887673699563,221.0,1.0,0.656495,8.156630106918804e-05,0.0,0.073675,0.076948,candidate_signal,target-associated methylation signal; mechanism not inferred
chr5,125035000,125039999,chr5:125000000-129999999,age_weeks_raw_v24,ridge,chr5:125035000-125039999,1,0.9986790351980926,-0.9986790351980926,1.0,1.0,0.341621,0.06465172134782164,0.0,0.05086,0.164926,candidate_signal,target-associated methylation signal; mechanism not inferred
chr3,77585000,77589999,chr3:75000000-79999999,age_weeks_raw_v24,ridge,chr3:77585000-77589999,1,0.9940072166475004,-0.9940072166475004,2.0,1.0,-0.072719,0.7025491413166571,0.0,0.056023,0.258229,tissue_confounded,target-associated methylation signal; mechanism not inferred
chr6,30710000,30714999,chr6:30000000-34999999,age_weeks_raw_v24,ridge,chr6:30710000-30714999,1,0.9917386064056969,-0.9917386064056969,3.0,1.0,0.003443,0.9855945724945702,0.0,0.006558,0.165249,candidate_signal,target-associated methylation signal; mechanism not inferred
chr11,86860000,86864999,chr11:85000000-89999999,age_weeks_raw_v24,ridge,chr11:86860000-86864999,1,0.9887364511670781,-0.9887364511670781,4.0,1.0,-0.166945,0.37791035461203815,0.0,0.024471,0.096193,candidate_signal,target-associated methylation signal; mechanism not inferred
chr5,121965000,121969999,chr5:120000000-124999999,age_weeks_raw_v24,ridge,chr5:121965000-121969999,1,0.9851367146569902,-0.9851367146569902,6.0,1.0,0.393294,0.031544997068791984,0.0,0.041445,0.261928,tissue_confounded,target-associated methylation signal; mechanism not inferred
