chrom,cluster_5mb,confounding_label,n_regions,mean_abs_age_r,mean_stability,mean_missing_fraction
chr11,chr11:95000000-99999999,cross_tissue_stable,4,0.253085,0.7521365,0.002051
chr2,chr2:15000000-19999999,cross_tissue_stable,3,0.30099233333333336,0.8219373333333334,0.006562666666666667
chr4,chr4:105000000-109999999,cross_tissue_stable,3,0.2751966666666667,0.7293446666666666,0.0005470000000000001
chr13,chr13:55000000-59999999,cross_tissue_stable,3,0.231649,0.6866096666666667,0.0005466666666666667
chr2,chr2:10000000-14999999,cross_tissue_stable,3,0.229127,0.6823363333333333,0.002734333333333333
chr2,chr2:70000000-74999999,cross_tissue_stable,3,0.22042133333333336,0.7863246666666667,0.0016406666666666668
chr16,chr16:25000000-29999999,cross_tissue_stable,2,0.3627615,0.8290595000000001,0.0016405
chr11,chr11:5000000-9999999,cross_tissue_stable,2,0.3349405,0.7606839999999999,0.004922
chr10,chr10:25000000-29999999,cross_tissue_stable,2,0.325404,0.8952990000000001,0.00041
chr15,chr15:35000000-39999999,cross_tissue_stable,2,0.323051,0.9358975,0.002871
chr13,chr13:45000000-49999999,cross_tissue_stable,2,0.322036,0.852564,0.005332
chr12,chr12:115000000-119999999,cross_tissue_stable,2,0.316898,0.7713675,0.002461
chr12,chr12:10000000-14999999,cross_tissue_stable,2,0.30784849999999997,0.811966,0.0012305
chr9,chr9:85000000-89999999,cross_tissue_stable,2,0.3036565,0.715812,0.0012305
chr14,chr14:100000000-104999999,cross_tissue_stable,2,0.3031745,0.769231,0.00041
chr19,chr19:25000000-29999999,cross_tissue_stable,2,0.300259,0.7713675,0.0
chr1,chr1:5000000-9999999,cross_tissue_stable,2,0.298316,0.7970085,0.00082
chr5,chr5:65000000-69999999,cross_tissue_stable,2,0.2940765,0.7991455000000001,0.0016405
chr9,chr9:55000000-59999999,cross_tissue_stable,2,0.29095000000000004,0.854701,0.0008205
chr9,chr9:25000000-29999999,cross_tissue_stable,2,0.2885375,0.688034,0.0028715
chr11,chr11:65000000-69999999,mixed_or_low_support,2,0.28184200000000004,0.44230749999999996,0.0008205
chr10,chr10:40000000-44999999,cross_tissue_stable,2,0.281273,0.715812,0.00041
chr3,chr3:90000000-94999999,cross_tissue_stable,2,0.27833600000000003,0.7863245,0.002051
chr9,chr9:65000000-69999999,cross_tissue_stable,2,0.2781685,0.7585470000000001,0.00041
chr1,chr1:105000000-109999999,mixed_or_low_support,2,0.2762155,0.455128,0.0
chr8,chr8:85000000-89999999,cross_tissue_stable,2,0.2695265,0.7606839999999999,0.0012305
chr13,chr13:100000000-104999999,mixed_or_low_support,2,0.2626885,0.5128205,0.0
chr7,chr7:110000000-114999999,cross_tissue_stable,2,0.2612035,0.6901705,0.003281
chr14,chr14:120000000-124999999,cross_tissue_stable,2,0.2552845,0.7029915,0.00041
chr5,chr5:120000000-124999999,cross_tissue_stable,2,0.253152,0.5833335,0.002051
chr9,chr9:40000000-44999999,cross_tissue_stable,2,0.23691,0.6666665,0.0
chr2,chr2:125000000-129999999,mixed_or_low_support,2,0.235087,0.40384600000000004,0.002051
chr15,chr15:95000000-99999999,cross_tissue_stable,2,0.22930099999999998,0.6196585,0.00041
chr13,chr13:90000000-94999999,mixed_or_low_support,2,0.2258735,0.5128205,0.0032814999999999997
chr4,chr4:115000000-119999999,mixed_or_low_support,2,0.202977,0.4978635,0.001641
chr3,chr3:80000000-84999999,cross_tissue_stable,1,0.375963,0.923077,0.001641
chr2,chr2:175000000-179999999,cross_tissue_stable,1,0.362961,0.816239,0.002461
chr1,chr1:55000000-59999999,cross_tissue_stable,1,0.357524,0.786325,0.005742
chr3,chr3:120000000-124999999,cross_tissue_stable,1,0.357476,0.84188,0.00082
chr18,chr18:15000000-19999999,cross_tissue_stable,1,0.353477,0.700855,0.004922
chr1,chr1:0-4999999,cross_tissue_stable,1,0.349132,0.790598,0.011485
chr12,chr12:105000000-109999999,cross_tissue_stable,1,0.347955,0.84188,0.0
chr16,chr16:90000000-94999999,cross_tissue_stable,1,0.341941,0.816239,0.003281
chr13,chr13:115000000-119999999,cross_tissue_stable,1,0.340656,0.893162,0.001641
